rang,nom,equipe,is_goalie,valeur
1,Connor McDavid,EDM,0,136
2,Nikita Kucherov,TBL,0,131
3,Nathan MacKinnon,COL,0,131
4,Leon Draisaitl,EDM,0,119
5,Macklin Celebrini,SJS,0,112
6,David Pastrnak,BOS,0,105
7,Kirill Kaprizov,MIN,0,103
8,Jack Eichel,VGK,0,102
9,William Nylander,TOR,0,101
10,Nick Suzuki,MTL,0,99
11,Wyatt Johnston,DAL,0,99
12,Mikko Rantanen,DAL,0,99
13,Martin Necas,COL,0,98
14,Auston Matthews,TOR,0,97
15,Jack Hughes,NJD,0,95
16,Jason Robertson,DAL,0,94
17,Mark Scheifele,WPG,0,94
18,Mitchell Marner,VGK,0,93
19,Matt Boldy,MIN,0,92
20,Clayton Keller,UTA,0,92
21,Matthew Tkachuk,FLA,0,91
22,Sidney Crosby,PIT,0,91
23,Kyle Connor,WPG,0,91
24,Cale Makar,COL,0,90
25,Leo Carlsson,ANA,0,90
26,Lane Hutson,MTL,0,89
27,Jake Guentzel,TBL,0,89
28,Brandon Hagel,TBL,0,89
29,Quinn Hughes,MIN,0,88
30,Evan Bouchard,EDM,0,87
31,Sebastian Aho,CAR,0,87
32,Rasmus Dahlin,BUF,0,86
33,Tim Stutzle,OTT,0,86
34,Zach Werenski,CBJ,0,85
35,Robert Thomas,STL,0,85
36,Tage Thompson,BUF,0,84
37,Alex DeBrincat,DET,0,82
38,Sam Reinhart,FLA,0,82
39,Cole Caufield,MTL,0,82
40,Lucas Raymond,DET,0,81
41,Cutter Gauthier,ANA,0,81
42,Mark Stone,VGK,0,81
43,Aleksander Barkov,FLA,0,80
44,Juraj Slafkovsky,MTL,0,80
45,Dylan Guenther,UTA,0,80
46,Jesper Bratt,NJD,0,79
47,Mika Zibanejad,NYR,0,78
48,Will Smith,SJS,0,78
49,Ivan Demidov,MTL,0,77
50,Mathew Barzal,NYI,0,77
51,Brady Tkachuk,FLA,0,76
52,Brayden Point,TBL,0,76
53,Adam Fox,NYR,0,76
54,Nick Schmaltz,UTA,0,76
55,Artemi Panarin,LAK,0,76
56,Kirill Marchenko,CBJ,0,75
57,Nico Hischier,NJD,0,75
58,Travis Konecny,PHI,0,75
59,Filip Forsberg,NSH,0,75
60,Jake Sanderson,OTT,0,74
61,Bryan Rust,PIT,0,74
62,Zach Hyman,EDM,0,74
63,Matthew Knies,TOR,0,73
64,Adrian Kempe,LAK,0,73
65,Connor Bedard,CHI,0,72
66,Dylan Larkin,DET,0,72
67,Drake Batherson,OTT,0,72
68,Nikolaj Ehlers,CAR,0,72
69,Andrei Svechnikov,CAR,0,72
70,Dylan Holloway,STL,0,71
71,Gabriel Vilardi,WPG,0,71
72,Bo Horvat,NYI,0,70
73,Roope Hintz,DAL,0,70
74,Logan Cooley,UTA,0,70
75,J.T. Miller,NYR,0,69
76,Evgeni Malkin,PIT,0,69
77,Beckett Sennecke,ANA,0,69
78,Jackson Blake,CAR,0,68
79,Dylan Strome,WSH,0,68
80,Miro Heiskanen,DAL,0,68
81,Troy Terry,ANA,0,68
82,Moritz Seider,DET,0,66
83,Mikhail Sergachev,UTA,0,66
84,Jackson LaCombe,ANA,0,66
85,William Eklund,OTT,0,65
86,Adam Fantilli,CBJ,0,65
87,Matthew Schaefer,NYI,0,65
88,Ivan Barbashev,VGK,0,65
89,Charlie McAvoy,BOS,0,64
90,Gavin McKenna,TOR,0,64
91,John Tavares,TOR,0,64
92,Trevor Zegras,PHI,0,64
93,Ryan O'Reilly,NSH,0,64
94,Jared McCann,SEA,0,64
95,Morgan Geekie,BOS,0,63
96,Darren Raddysh,TOR,0,63
97,Brock Nelson,COL,0,63
98,Ryan Nugent-Hopkins,EDM,0,63
99,Tomas Hertl,VGK,0,63
100,Zach Benson,BUF,0,62
101,John Carlson,TBL,0,62
102,Alexis Lafreniere,NYR,0,62
103,Matt Duchene,DAL,0,62
104,Joel Eriksson Ek,MIN,0,62
105,Luke Evangelista,NSH,0,62
106,Elias Pettersson,VAN,0,62
107,Pavel Zacha,BOS,0,61
108,Josh Doan,BUF,0,61
109,Tyler Bertuzzi,CHI,0,61
110,Roman Josi,NSH,0,61
111,Shea Theodore,VGK,0,61
112,Matvei Michkov,PHI,0,60
113,Rickard Rakell,PIT,0,60
114,Aliaksei Protas,WSH,0,60
115,Kevin Fiala,LAK,0,60
116,Dylan Cozens,OTT,0,59
117,Shane Pinto,OTT,0,59
118,Shayne Gostisbehere,CAR,0,59
119,Pavel Dorofeyev,NYR,0,59
120,Erik Karlsson,PIT,0,59
121,Alex Tuch,WSH,0,59
122,Tom Wilson,WSH,0,59
123,Steven Stamkos,NSH,0,59
124,JJ Peterka,BOS,0,58
125,Brad Marchand,FLA,0,58
126,Anthony Cirelli,TBL,0,58
127,Pierre-Luc Dubois,WSH,0,58
128,Frank Nazar,CHI,0,58
129,Brock Faber,MIN,0,58
130,Jimmy Snuggerud,STL,0,58
131,Carter Verhaeghe,FLA,0,57
132,Porter Martone,PHI,0,57
133,Elias Lindholm,BOS,0,56
134,Charlie Coyle,CBJ,0,56
135,Connor McMichael,STL,0,56
136,Marco Rossi,VAN,0,56
137,Jack Quinn,BUF,0,55
138,Sam Bennett,FLA,0,55
139,Bowen Byram,CHI,0,55
140,Josh Morrissey,WPG,0,55
141,Mikael Granlund,ANA,0,55
142,Quinton Byfield,LAK,0,55
143,Matty Beniers,SEA,0,55
144,Viktor Arvidsson,DET,0,54
145,Anton Lundell,FLA,0,54
146,Valeri Nichushkin,CBJ,0,54
147,Owen Tippett,PHI,0,54
148,Artturi Lehkonen,COL,0,54
149,Vincent Trocheck,UTA,0,54
150,Jonathan Huberdeau,CGY,0,54
151,Mason Marchment,SJS,0,54
152,Logan Stankoven,CAR,0,53
153,Gabriel Landeskog,COL,0,53
154,Brock Boeser,VAN,0,53
155,Jason Zucker,BUF,0,52
156,Alex Newhook,MTL,0,52
157,Jakob Chychrun,WSH,0,52
158,Mason McTavish,STL,0,52
159,Mavrik Bourque,NSH,0,52
160,Ryan McLeod,BUF,0,52
161,Noah Dobson,MTL,0,51
162,Luke Hughes,NJD,0,51
163,Tyson Foerster,PHI,0,51
164,Chris Kreider,ANA,0,51
165,Chandler Stephenson,SEA,0,51
166,Kaapo Kakko,SEA,0,51
167,Anthony Mantha,SEA,0,51
168,Gabriel Perreault,NYR,0,50
169,Will Cuylle,NYR,0,50
170,Cole Hutson,WSH,0,50
171,Matt Coronato,CGY,0,50
172,Mats Zuccarello,LAK,0,50
173,Collin Graf,SJS,0,50
174,Jordan Eberle,SEA,0,50
175,Josh Norris,BUF,0,50
176,Simon Holmstrom,NYI,0,49
177,Christian Dvorak,PHI,0,49
178,Morgan Frost,CGY,0,49
179,Rasmus Andersson,VGK,0,49
180,Easton Cowan,TOR,0,48
181,Kyle Palmieri,NYI,0,48
182,Alex Ovechkin,WSH,0,48
183,Patrick Kane,CHI,0,48
184,Nazem Kadri,COL,0,48
185,Thomas Harley,DAL,0,48
186,Jake DeBrusk,VAN,0,48
187,William Karlsson,VGK,0,48
188,Casey Mittelstadt,BOS,0,47
189,Seth Jones,FLA,0,47
190,Timo Meier,NJD,0,47
191,Tommy Novak,PIT,0,47
192,Jordan Kyrou,WSH,0,47
193,Ryan Hartman,MIN,0,47
194,Pavel Buchnevich,STL,0,47
