rang,nom,equipe,is_goalie,valeur
1,Connor McDavid,EDM,0,140
2,Nikita Kucherov,TBL,0,128
3,Leon Draisaitl,EDM,0,126
4,Nathan MacKinnon,COL,0,123
5,Macklin Celebrini,SJS,0,123
6,Kirill Kaprizov,MIN,0,110
7,Jack Eichel,VGK,0,108
8,Mikko Rantanen,DAL,0,104
9,Nick Suzuki,MTL,0,104
10,Mitch Marner,VGK,0,102
11,David Pastrnak,BOS,0,101
12,Mark Scheifele,WPG,0,97
13,Clayton Keller,UTA,0,95
14,Kyle Connor,WPG,0,94
15,Martin Necas,COL,0,93
16,William Nylander,TOR,0,92
17,Artemi Panarin,LAK,0,92
18,Matt Boldy,MIN,0,91
19,Jason Robertson,DAL,0,91
20,Auston Matthews,TOR,0,90
21,Wyatt Johnston,DAL,0,90
22,Jack Hughes,NJD,0,87
23,Jake Guentzel,TBL,0,86
24,Sam Reinhart,FLA,0,85
25,Sidney Crosby,PIT,0,85
26,Jesper Bratt,NJD,0,85
27,Tage Thompson,BUF,0,84
28,Sebastian Aho,CAR,0,84
29,Cole Caufield,MTL,0,82
30,Matthew Tkachuk,FLA,0,82
31,Leo Carlsson,ANA,0,81
32,Dylan Guenther,UTA,0,80
33,Brandon Hagel,TBL,0,80
34,Robert Thomas,STL,0,80
35,Tim Stutzle,OTT,0,79
36,Filip Forsberg,NSH,0,78
37,Brayden Point,TBL,0,78
38,Logan Cooley,UTA,0,78
39,Zach Hyman,EDM,0,77
40,Nikolaj Ehlers,CAR,0,77
41,Aleksander Barkov,FLA,0,77
42,Brady Tkachuk,OTT,0,76
43,Gabriel Vilardi,WPG,0,76
44,Adrian Kempe,LAK,0,75
45,Will Smith,SJS,0,75
46,Lucas Raymond,DET,0,75
47,Mark Stone,VGK,0,75
48,Mathew Barzal,NYI,0,75
49,Mika Zibanejad,NYR,0,74
50,Kirill Marchenko,CBJ,0,74
51,Dylan Strome,WSH,0,74
52,Alex Tuch,WSH,0,73
53,Kevin Fiala,LAK,0,72
54,Nico Hischier,NJD,0,72
55,Nick Schmaltz,UTA,0,72
56,Cutter Gauthier,ANA,0,71
57,Andrei Svechnikov,CAR,0,71
58,Trevor Zegras,PHI,0,71
59,Dylan Larkin,DET,0,70
60,Travis Konecny,PHI,0,70
61,Juraj Slafkovsky,MTL,0,70
62,Jordan Kyrou,WSH,0,69
63,Alex DeBrincat,DET,0,69
64,Connor Bedard,CHI,0,69
65,Roope Hintz,DAL,0,69
66,John Tavares,TOR,0,69
67,Ivan Demidov,MTL,0,69
68,Drake Batherson,OTT,0,68
69,Dylan Holloway,STL,0,68
70,Matthew Knies,TOR,0,68
71,Bryan Rust,PIT,0,67
72,Ivan Barbashev,VGK,0,66
73,Jackson Blake,CAR,0,66
74,Beckett Sennecke,ANA,0,66
75,Adam Fantilli,CBJ,0,65
76,Brock Nelson,COL,0,65
77,Ryan O'Reilly,NSH,0,65
78,Bo Horvat,NYI,0,64
79,Jared McCann,SEA,0,64
80,Tyler Bertuzzi,CHI,0,63
81,Matt Duchene,DAL,0,63
82,JJ Peterka,BOS,0,62
83,Vincent Trocheck,UTA,0,62
84,Ryan Nugent-Hopkins,EDM,0,62
85,Pavel Dorofeyev,NYR,0,61
86,Tyson Foerster,PHI,0,61
87,Jimmy Snuggerud,STL,0,61
88,Porter Martone,PHI,0,61
89,Zach Benson,BUF,0,61
90,Mats Zuccarello,LAK,0,61
91,Tomas Hertl,VGK,0,60
92,Alexis Lafreniere,NYR,0,60
93,Pierre-Luc Dubois,WSH,0,60
94,Anthony Cirelli,TBL,0,60
95,J.T. Miller,NYR,0,60
96,Evgeni Malkin,PIT,0,60
97,William Eklund,OTT,0,60
98,Rickard Rakell,PIT,0,59
99,Pavel Zacha,BOS,0,59
100,Seth Jarvis,CAR,0,59
101,Frank Nazar,CHI,0,59
102,Steven Stamkos,NSH,0,58
103,Quinton Byfield,LAK,0,58
104,Joel Eriksson Ek,MIN,0,58
105,Elias Pettersson,VAN,0,58
106,Luke Evangelista,NSH,0,58
107,Dylan Cozens,OTT,0,57
108,Egor Chinakhov,PIT,0,57
109,Matty Beniers,SEA,0,57
110,Alex Ovechkin,WSH,0,56
111,Logan Stankoven,CAR,0,56
112,Mikael Granlund,ANA,0,56
113,Valeri Nichushkin,CBJ,0,56
114,Josh Doan,BUF,0,55
115,Sam Bennett,FLA,0,55
116,Mason McTavish,STL,0,55
117,Matvei Michkov,PHI,0,55
118,Tom Wilson,WSH,0,54
119,Anthony Mantha,NJD,0,54
120,Jordan Eberle,SEA,0,54
121,Michael Misa,SJS,0,54
122,Ryan McLeod,BUF,0,54
123,Brock Boeser,VAN,0,53
124,Carter Verhaeghe,FLA,0,53
125,Mason Marchment,SJS,0,53
126,Owen Tippett,PHI,0,53
127,Patrick Kane,,0,53
128,Anders Lee,UTA,0,52
129,Artturi Lehkonen,COL,0,52
130,Jack Quinn,BUF,0,52
131,Ivar Stenberg,SJS,0,52
132,Chandler Stephenson,SEA,0,52
133,Morgan Geekie,BOS,0,51
134,Aliaksei Protas,WSH,0,51
135,Brad Marchand,FLA,0,51
136,Ben Kindel,PIT,0,51
137,Marco Rossi,VAN,0,51
138,Elias Lindholm,BOS,0,51
139,Timo Meier,NJD,0,50
140,Troy Terry,ANA,0,50
141,Nazem Kadri,COL,0,50
142,Kyle Palmieri,NYI,0,49
143,Collin Graf,SJS,0,49
144,Connor McMichael,STL,0,49
145,Bobby McMann,SEA,0,48
146,Jason Zucker,BUF,0,48
147,Will Cuylle,NYR,0,48
148,Cole Perfetti,WPG,0,48
149,Gavin McKenna,TOR,0,48
150,Anton Frondell,CHI,0,48
151,Matt Savoie,EDM,0,47
152,Gabriel Landeskog,COL,0,47
153,Kaapo Kakko,SEA,0,47
154,William Karlsson,VGK,0,47
155,Lawson Crouse,UTA,0,46
156,Dawson Mercer,NJD,0,46
157,Matt Coronato,CGY,0,46
158,Charlie Coyle,CBJ,0,46
159,Christian Dvorak,PHI,0,46
160,Jonathan Marchessault,NSH,0,45
161,Tyler Toffoli,SJS,0,45
162,Josh Norris,BUF,0,45
163,Taylor Hall,CAR,0,45
164,Mavrik Bourque,NSH,0,45
165,Jake DeBrusk,VAN,0,44
166,Shane Pinto,OTT,0,44
167,Viktor Arvidsson,DET,0,44
168,Simon Holmstrom,NYI,0,44
169,Conor Garland,CBJ,0,44
170,Ryan Leonard,WSH,0,44
171,Konsta Helenius,BUF,0,44
172,Chris Kreider,ANA,0,43
173,Brett Howden,VGK,0,43
174,Ryan Hartman,MIN,0,43
175,Vladimir Tarasenko,,0,43
176,Pavel Buchnevich,STL,0,43
177,Jamie Benn,DAL,0,42
178,Noah Cates,PHI,0,42
179,Casey Mittelstadt,BOS,0,42
180,Gabriel Perreault,NYR,0,42
181,Teuvo Teravainen,CHI,0,42
182,Alexander Wennberg,SJS,0,42
183,Tommy Novak,PIT,0,42
184,Claude Giroux,OTT,0,42
185,Dmitri Voronkov,CBJ,0,41
186,Morgan Frost,CGY,0,41
187,Vasily Podkolzin,EDM,0,41
188,Michael Bunting,,0,41
189,Jake Neighbours,STL,0,41
190,Blake Coleman,MIN,0,41
191,Calum Ritchie,NYI,0,41
192,Mackie Samoskevich,SEA,0,41
193,Jonathan Huberdeau,CGY,0,41
194,Jaden Schwartz,COL,0,41
195,Gage Goncalves,TBL,0,41
196,Joel Farabee,CGY,0,40
197,Jack Roslovic,TOR,0,40
198,Andrei Kuzmenko,PIT,0,40
199,Brayden Schenn,NYI,0,40
200,Tyler Seguin,DAL,0,40
201,Anton Lundell,FLA,0,40
202,Connor Brown,NJD,0,40
203,Boone Jenner,WSH,0,40
204,Sean Monahan,CBJ,0,40
205,Max Shabanov,MIN,0,40
206,Alex Newhook,MTL,0,40
207,Igor Chernyshov,SJS,0,40
208,James Hagens,BOS,0,40
209,Noah Ostlund,BUF,0,40
210,Andrew Copp,DET,0,40
211,Matthew Wood,NSH,0,39
212,Oliver Bjorkstrand,NYR,0,39
213,Alex Laferriere,LAK,0,39
214,Mikael Backlund,CGY,0,39
215,Easton Cowan,TOR,0,39
216,Ryan Poehling,ANA,0,39
217,Matvei Gridin,CGY,0,39
218,Oliver Kapanen,MTL,0,38
219,Linus Karlsson,VAN,0,38
220,Arseny Gritsyuk,NJD,0,38
221,Peyton Krebs,BUF,0,38
222,Sean Couturier,PHI,0,38
223,Isaac Howard,EDM,0,38
224,Nicholas Robertson,PIT,0,37
225,Alex Killorn,ANA,0,37
226,Ryan Greene,CHI,0,37
227,Fraser Minten,BOS,0,37
228,Erik Haula,LAK,0,37
229,Ridly Greig,OTT,0,37
230,Fabian Zetterlund,OTT,0,36
