Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Pastrnak, David;BOS;;RW,LW;30;;;11250000;11250000;11250000;11250000;11250000
McAvoy, Charlie;BOS;;RD;28;;;9500000;9500000;9500000;9500000;UFA
Swayman, Jeremy;BOS;;G;27;;;8250000;8250000;8250000;8250000;8250000
Lindholm, Elias;BOS;;C,RW;31;;;7750000;7750000;7750000;7750000;7750000
Peterka, John-Jason;BOS;;LW;24;;;7700000;7700000;7700000;7700000;UFA
Lindholm, Hampus;BOS;;LD;32;;;6500000;6500000;6500000;6500000;UFA
Mittelstadt, Casey;BOS;;C,LW;27;;;5750000;UFA;0;0;0
Geekie, Morgan;BOS;;C,RW;28;;;5500000;5500000;5500000;5500000;5500000
Zadorov, Nikita;BOS;;LD;31;;;5000000;5000000;5000000;5000000;UFA
Zacha, Pavel;BOS;;C,LW;29;;;4750000;UFA;0;0;0
Carlo, Brandon;BOS;;RD;29;;2026-27;4100000;0;0;0;0
Borgen, William;BOS;;RD,LD;29;;;4100000;4100000;4100000;4100000;UFA
Jeannot, Tanner;BOS;;LW,RW;29;;;3400000;3400000;3400000;3400000;UFA
Lohrei, Mason;BOS;;LD;25;;;3200000;RFA;0;0;0
Jokiharju, Henri;BOS;;RD;27;;;3000000;3000000;UFA;0;0
Clifton, Connor;BOS;;RD;31;;;2250000;2250000;UFA;0;0
Kuraly, Sean;BOS;;C,LW;33;;;1850000;UFA;0;0;0
Steeves, Alex;BOS;;C,LW;26;;;1625000;1625000;UFA;0;0
Kastelic, Mark;BOS;;C,RW;27;;;1566667;1566667;UFA;0;0
Eyssimont, Michael;BOS;;LW,RW;29;;;1450000;UFA;0;0;0
Hagens, James;BOS;ELC;C,LW;19;2026-27|2027-28;;986250;986250;RFA;0;0
Biasca, Attilio;BOS;ELC;;23;2026-27|2027-28;;980000;980000;RFA;0;0
Locmelis, Dans;BOS;ELC;C;22;2026-27|2027-28;;960000;960000;RFA;0;0
Lundgren, Max;BOS;ELC;G;24;2026-27;;952500;RFA;0;0;0
Reichel, Lukas;BOS;;C,LW;24;;;950000;RFA;0;0;0
Väisänen, Kalle;BOS;ELC;LW;23;2026-27;;938333;RFA;0;0;0
Johansson, Loke;BOS;ELC;D;20;2026-27|2027-28|2028-29;;928334;928334;928334;RFA;0
Khusnutdinov, Marat;BOS;;LW,RW;24;;;925000;RFA;0;0;0
Aspirot, Jonathan;BOS;;LD;27;;;887500;887500;UFA;0;0
Minten, Fraser;BOS;ELC;C,LW;22;2026-27;;879166;RFA;0;0;0
Gaunce, Brendan;BOS;;C,LW;32;;;875000;875000;UFA;0;0
Brunet, Frédéric;BOS;;LD;23;;;875000;875000;RFA;0;0
Halonen, Brian;BOS;;LW,RW;27;;;875000;875000;UFA;0;0
Patera, Jiri;BOS;;G;27;;;850000;UFA;0;0;0
Ivan, Ivan;BOS;;C,LW;24;;;850000;RFA;0;0;0
Duran, Riley;BOS;;C,RW;24;;;850000;RFA;0;0;0
Mutter, Navrin;BOS;;LW,C;25;;;850000;0;0;0;0
Cavallin, Luke;BOS;;G;25;;;850000;RFA;0;0;0
Harris, Jordan;BOS;;LD;26;;;850000;RFA;0;0;0
Guenette, Maxence;BOS;;D;25;;;850000;0;0;0;0
Sweezey, Billy;BOS;;D;30;;;850000;UFA;0;0;0
Zajicek, Simon;BOS;;G;25;;;850000;RFA;0;0;0
Dipietro, Michael;BOS;;G;27;;;812500;UFA;0;0;0
Poitras, Matthew;BOS;;C,RW;22;;;RFA;0;0;0;0
undefined, undefined;BOS;;;;;;;;;;
