Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Aho, Sebastian;CAR;;C;29;;;9750000;9750000;9750000;9750000;9750000
Ehlers, Nikolaj;CAR;;LW;30;;;8500000;8500000;8500000;8500000;8500000
Svechnikov, Andrei;CAR;;LW,RW;26;;;7750000;7750000;7750000;UFA;0
Miller, K'Andre;CAR;;LD;26;;;7500000;7500000;7500000;7500000;7500000
Jarvis, Seth;CAR;;RW,LW;24;;;7420087;7420087;7420087;7420087;7420087
Slavin, Jaccob;CAR;;LD;32;;;6396062;6396062;6396062;6396062;6396062
Stankoven, Logan;CAR;;C,RW;23;;;6000000;6000000;6000000;6000000;6000000
Blake, Jackson;CAR;;RW;23;;;5117002;5117002;5117002;5117002;5117002
Kotkaniemi, Jesperi;CAR;;C,LW;26;;;4820000;4820000;4820000;4820000;UFA
Walker, Sean;CAR;;RD,LD;31;;;3625000;3625000;3625000;UFA;0
Gostisbehere, Shayne;CAR;;LD;33;;;3200000;UFA;0;0;0
Hall, Taylor;CAR;;LW;34;;;3166667;3166667;UFA;0;0
Martinook, Jordan;CAR;;LW,RW;34;;;3125000;UFA;0;0;0
Chatfield, Jalen;CAR;;RD;30;;;3075000;UFA;0;0;0
Staal, Jordan;CAR;;C;37;;;2975000;UFA;0;0;0
Carrier, William;CAR;;LW,RW;31;;;2150000;2150000;2150000;2150000;UFA
Kochetkov, Pyotr;CAR;;G;27;;;2000000;UFA;0;0;0
Bussi, Brandon;CAR;;G;28;;;1900000;1900000;1900000;UFA;0
Jankowski, Mark;CAR;;C;31;;;1850000;1850000;UFA;0;0
Robinson, Eric;CAR;;LW,RW;31;;;1700000;1700000;1700000;UFA;0
Nystrom, Joel;CAR;;RD;24;;;1225000;1225000;1225000;1225000;UFA
Håkansson, William;CAR;ELC;;18;2026-27|2027-28|2028-29;;996000;996000;996000;RFA;0
Fransén, Noel;CAR;ELC;D;20;2026-27|2027-28|2028-29;;990000;990000;990000;RFA;0
Ryabkin, Ivan;CAR;ELC;C;19;2026-27|2027-28|2028-29;;952222;952222;952222;RFA;0
Trikozov, Gleb;CAR;ELC;LW;22;2026-27;;937500;RFA;0;0;0
Badinka, Dominik;CAR;ELC;D;20;2026-27|2027-28|2028-29;;931350;931350;931350;RFA;0
Khazheyev, Ruslan;CAR;ELC;G;21;2026-27;;920000;RFA;0;0;0
Nadeau, Bradly;CAR;ELC;W,C;21;2026-27;;918333;RFA;0;0;0
Legault, Charles-Alexis;CAR;ELC;RD;22;2026-27;;915833;RFA;0;0;0
Cerrato, Charlie;CAR;ELC;F;21;2026-27|2027-28;;915000;915000;RFA;0;0
Unger Sörum, Felix;CAR;ELC;RW;20;2026-27|2027-28;;903334;903334;RFA;0;0
Valimaki, Juuso;CAR;;LD;27;;;900000;UFA;0;0;0
Deslauriers, Nicolas;CAR;;LW;35;;;875000;875000;UFA;0;0
Montgomery, Bryce;CAR;ELC;D;23;2026-27;;854910;RFA;0;0;0
Heimosalmi, Aleksi;CAR;;D;23;;;850000;RFA;0;0;0
Jaaska, Juha;CAR;;LW,RW;28;;;850000;UFA;0;0;0
Neuchev, Viktor;CAR;;LW,RW;22;;;850000;RFA;0;0;0
Sawchenko, Zachary;CAR;;G;28;;;850000;UFA;0;0;0
Seeley, Ronan;CAR;;D;24;;;850000;RFA;0;0;0
Nikishin, Alexander;CAR;;LD,RD;24;;;RFA;0;0;0;0
Gunler, Noel;CAR;;RW;24;;;RFA;0;0;0;0
Robidas, Justin;CAR;;C;23;;;RFA;0;0;0;0
Primeau, Cayden;CAR;;G;27;;;RFA;0;0;0;0
undefined, undefined;CAR;;;;;;;;;;
