Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Werenski, Zach;CBJ;;LD;29;;;9583334;9583334;UFA;0;0
Provorov, Ivan;CBJ;;LD,RD;29;;;8500000;8500000;8500000;8500000;8500000
Severson, Damon;CBJ;;LD,RD;32;;;6250000;6250000;6250000;6250000;6250000
Nichushkin, Valeri;CBJ;;RW,LW;31;;;6125000;6125000;6125000;6125000;UFA
Garland, Conor;CBJ;;RW,LW;30;;;6000000;6000000;6000000;6000000;6000000
Coyle, Charlie;CBJ;;C,RW;34;;;6000000;6000000;6000000;6000000;6000000
Monahan, Sean;CBJ;;C;31;;;5500000;5500000;5500000;UFA;0
Merzlikins, Elvis;CBJ;;G;32;;;5400000;UFA;0;0;0
Greaves, Jet;CBJ;;G;25;;;5000000;5000000;5000000;UFA;0
Sillinger, Cole;CBJ;;C,LW;23;;;4625000;4625000;4625000;UFA;0
Voronkov, Dmitri;CBJ;;C,LW;25;;;4175000;RFA;0;0;0
Fabbro, Dante;CBJ;;RD,LD;28;;;4125000;4125000;4125000;UFA;0
Marchenko, Kirill;CBJ;;RW,LW;26;;;3850000;RFA;0;0;0
Olivier, Mathieu;CBJ;;RW,LW;29;;;3000000;3000000;3000000;3000000;3000000
Wood, Miles;CBJ;;LW;30;;;2500000;2500000;2500000;UFA;0
Johnson, Kent;CBJ;;LW,RW;23;;;1800000;RFA;0;0;0
Gudbranson, Erik;CBJ;;RD;34;;;1750000;UFA;0;0;0
Lomberg, Ryan;CBJ;;LW;31;;;1300000;1300000;UFA;0;0
Lundestrom, Isac;CBJ;;C,LW;26;;;1300000;UFA;0;0;0
Buckberger, Boston;CBJ;ELC;;23;2026-27|2027-28;;1050000;1050000;RFA;0;0
Heinen, Danton;CBJ;;LW,C;31;;;1000000;UFA;0;0;0
Christiansen, Jake;CBJ;;LD;26;;;975000;UFA;0;0;0
Ivanov, Sergei;CBJ;ELC;G;22;2026-27|2027-28;;970000;970000;RFA;0;0
Elick, Charlie;CBJ;ELC;D;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Gardner, Evan;CBJ;ELC;G;20;2026-27|2027-28|2028-29;;963889;963889;963889;RFA;0
Keskinen, Oiva;CBJ;ELC;C;22;2026-27|2027-28;;960000;960000;RFA;0;0
Eernisse, Joshua;CBJ;ELC;;24;2026-27;;952500;RFA;0;0;0
Richard, Guillaume;CBJ;ELC;D;23;2026-27;;942500;RFA;0;0;0
Bezeau, Riley;CBJ;ELC;;24;2026-27;;940000;RFA;0;0;0
Pinelli, Luca;CBJ;ELC;C;21;2026-27|2027-28;;934166;934166;RFA;0;0
McCue, Max;CBJ;ELC;C;23;2026-27;;933333;RFA;0;0;0
Marrelli, Luca;CBJ;ELC;D;20;2026-27|2027-28|2028-29;;931944;931944;931944;RFA;0
MacDonald, Caleb;CBJ;ELC;D;23;2026-27;;922500;RFA;0;0;0
Mateychuk, Denton;CBJ;ELC;LD,RD;22;2026-27;;886666;RFA;0;0;0
White, Colton;CBJ;;LD;29;;;875000;875000;UFA;0;0
Pyyhtia, Mikael;CBJ;;LW,RW;24;;;875000;875000;RFA;0;0
Tuch, Luke;CBJ;;LW;24;;;875000;875000;RFA;0;0
Williams, Jack;CBJ;;RW,C;24;;;875000;875000;RFA;0;0
Lalonde, Nolan;CBJ;ELC;G;22;2026-27;;860556;RFA;0;0;0
Del Bel Belluz, Luca;CBJ;ELC;C,LW;22;2026-27;;859999;RFA;0;0;0
Dumais, Jordan;CBJ;ELC;RW;22;2026-27;;859999;RFA;0;0;0
Malatesta, James;CBJ;;LW,C;23;;;850000;RFA;0;0;0
Copley, Pheonix;CBJ;;G;34;;;850000;UFA;0;0;0
Sillinger, Owen;CBJ;;C,LW;28;;;850000;UFA;0;0;0
Ceulemans, Corson;CBJ;;D;23;;;850000;RFA;0;0;0
Fantilli, Adam;CBJ;;C;21;;;RFA;0;0;0;0
Berni, Tim;CBJ;;LD,RD;26;;;RFA;0;0;0;0
undefined, undefined;CBJ;;;;;;;;;;
