Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Bedard, Connor;CHI;;C;21;;;15000000;15000000;15000000;15000000;15000000
Jones, Seth;CHI;;RD;31;;2026-27|2027-28|2028-29|2029-30;9500000;9500000;9500000;9500000;0
Kane, Patrick;CHI;;RW;37;;;8000000;8000000;UFA;0;0
Nazar, Frank;CHI;;C,RW;22;;;6599991;6599991;6599991;6599991;6599991
Byram, Bowen;CHI;;LD;25;;;6250000;12500000;12500000;12500000;12500000
Ellis, Ryan;CHI;;D;35;;;6250000;UFA;0;0;0
Knight, Spencer;CHI;;G;25;;;5833333;5833333;5833333;UFA;0
Bertuzzi, Tyler;CHI;;LW,RW;31;;;5500000;5500000;UFA;0;0
Teravainen, Teuvo;CHI;;LW;31;;;5400000;UFA;0;0;0
Vlasic, Alex;CHI;;LD;25;;;4600000;4600000;4600000;4600000;UFA
Greenway, Jordan;CHI;;LW,RW;29;;;4000000;UFA;0;0;0
Cole, Ian;CHI;;LD,RD;37;;;4000000;UFA;0;0;0
Donato, Ryan;CHI;;LW,C;30;;;4000000;4000000;4000000;UFA;0
Mangiapane, Andrew;CHI;;LW,RW;30;;;3600000;UFA;0;0;0
Smith, Cole;CHI;;LW;30;;;3000000;3000000;3000000;UFA;0
Soderblom, Arvid;CHI;;G;27;;;2750000;UFA;0;0;0
Kaiser, Wyatt;CHI;;LD;24;;;1700000;RFA;0;0;0
Kantserov, Roman;CHI;ELC;RW,LW;21;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Gajan, Adam;CHI;ELC;G;22;2026-27|2027-28;;1050000;1050000;RFA;0;0
Felcman, Jiri;CHI;ELC;C;21;2026-27|2027-28|2028-29;;996667;996667;996667;RFA;0
Frondell, Anton;CHI;ELC;C;19;2026-27|2027-28;;986250;986250;RFA;0;0
Boisvert, Sacha;CHI;ELC;C;20;2026-27|2027-28;;977917;977917;RFA;0;0
Berezhnoy, Stanislav;CHI;ELC;G;23;2026-27;;975000;RFA;0;0;0
Levshunov, Artyom;CHI;ELC;RD;20;2026-27;;975000;RFA;0;0;0
Greene, Ryan;CHI;ELC;C,LW;22;2026-27;;950000;RFA;0;0;0
Moore, Oliver;CHI;ELC;C,LW;21;2026-27;;941667;RFA;0;0;0
Vanacker, Marek;CHI;ELC;LW;20;2026-27|2027-28|2028-29;;941667;941667;941667;RFA;0
Rinzel, Sam;CHI;ELC;RD;22;2026-27;;941667;RFA;0;0;0
Mackey, Connor;CHI;;D;29;;;937500;937500;UFA;0;0
Spellacy, AJ;CHI;ELC;RW,C;20;2026-27|2027-28|2028-29;;932500;932500;932500;RFA;0
Harding, Taige;CHI;ELC;D;24;2026-27;;930000;RFA;0;0;0
Misiak, Martin;CHI;ELC;W;21;2026-27;;928333;RFA;0;0;0
Lardis, Nick;CHI;ELC;LW,RW;21;2026-27|2027-28;;925000;925000;RFA;0;0
Slaggert, Landon;CHI;;LW,RW;24;;;900000;RFA;0;0;0
Ludwinski, Paul;CHI;ELC;C,LW;22;2026-27;;900000;RFA;0;0;0
Savoie, Samuel;CHI;ELC;LW,C;22;2026-27;;896666;RFA;0;0;0
Furlong, Jake;CHI;ELC;D;22;2026-27;;891666;RFA;0;0;0
Commesso, Drew;CHI;;G;24;;;875000;875000;RFA;0;0
Hayes, Gavin;CHI;ELC;LW,RW;22;2026-27;;865000;RFA;0;0;0
Mylymok, Connor;CHI;;;26;;;850000;UFA;0;0;0
Pouliot, Derrick;CHI;;D;32;;;850000;UFA;0;0;0
Anhorn, Dylan;CHI;;D;27;;;850000;UFA;0;0;0
Toninato, Dominic;CHI;;C;32;;;850000;UFA;0;0;0
Boucher, Dillon;CHI;;;29;;;850000;UFA;0;0;0
Brodie, TJ;CHI;;D;36;;;258333;0;0;0;0
Korchinski, Kevin;CHI;;LD;22;;;RFA;0;0;0;0
Del Mastro, Ethan;CHI;;LD;23;;;RFA;0;0;0;0
undefined, undefined;CHI;;;;;;;;;;
