Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Rantanen, Mikko;DAL;;RW;29;;;12000000.0;12000000;12000000;12000000;12000000
Robertson, Jason;DAL;;LW,RW;27;;;12000000.0;UFA;0;0;0
Seguin, Tyler;DAL;;C,RW;34;;;9850000.0;UFA;0;0;0
Hintz, Roope;DAL;;C,LW;29;;;8450000.0;8450000;8450000;8450000;8450000
Johnston, Wyatt;DAL;;C,RW;23;;;8400000.0;8400000;8400000;8400000;UFA
Duchene, Matt;DAL;;C,RW;35;;;4500000.0;4500000;4500000;UFA;0
Steel, Sam;DAL;;C,LW;28;;;2100000.0;UFA;0;0;0
Faksa, Radek;DAL;;C,LW;32;;;2000000.0;2000000;UFA;0;0
Kiviranta, Joel;DAL;;LW,RW;30;;;1000000.0;UFA;0;0;0
Hryckowian, Justin;DAL;;C,LW;25;;;950000.0;950000;UFA;0;0
Hyry, Arttu;DAL;;RW,C;25;;;875000.0;875000;UFA;0;0
Benn, Jamie;DAL;;LW,C;37;;;850000.0;UFA;0;0;0
Blackwell, Colin;DAL;;RW;33;;;850000.0;UFA;0;0;0
Back, Oskar;DAL;;C,LW;26;;;825000.0;UFA;0;0;0
Harley, Thomas;DAL;;LD;25;;;10587000.0;10587000;10587000;10587000;10587000
Heiskanen, Miro;DAL;;LD,RD;27;;;8450000.0;8450000;8450000;UFA;0
Lindell, Esa;DAL;;LD;32;;;5250000.0;5250000;5250000;5250000;UFA
Lundkvist, Nils;DAL;;RD;26;;;1750000.0;1750000;UFA;0;0
Myers, Tyler;DAL;;RD;36;;2026-27;3000000.0;UFA;0;0;0
Bichsel, Lian;DAL;ELC;LD;22;2026-27;;918333.0;RFA;0;0;0
Capobianco, Kyle;DAL;;LD;29;;;875000.0;875000;UFA;0;0
Oettinger, Jake;DAL;;G;27;;;8250000.0;8250000;8250000;8250000;8250000
DeSmith, Casey;DAL;;G;35;;;1050000.0;UFA;0;0;0
Hryckowian, Dylan;DAL;ELC;;22;2026-27|2027-28;;1013750.0;1013750;RFA;0;0
Shlaine, Artem;DAL;ELC;C;24;2026-27;;952500.0;RFA;0;0;0
Fitzgerald, Christian;DAL;ELC;;24;2026-27;;952500.0;RFA;0;0;0
MacDonell, Angus;DAL;ELC;C;21;2026-27|2027-28;;950000.0;950000;RFA;0;0
Fuder, Jaxon;DAL;ELC;;20;2026-27|2027-28|2028-29;;950000.0;950000;950000;RFA;0
Martino, Ayrton;DAL;ELC;LW;23;2026-27;;942500.0;RFA;0;0;0
Ertel, Justin;DAL;ELC;LW,RW;23;2026-27;;942500.0;RFA;0;0;0
Hemming, Emil;DAL;ELC;RW;20;2026-27|2027-28|2028-29;;941667.0;941667;941667;RFA;0
Seminoff, Matthew;DAL;;RW,C;22;;;875000.0;875000;RFA;0;0
Scott, Harrison;DAL;;F;25;;;875000.0;875000;UFA;0;0
Hughes, Cameron;DAL;;C,LW;29;;;850000.0;UFA;0;0;0
Minnetian, Aram;DAL;ELC;D;21;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Anderson, Jack;DAL;ELC;;23;2026-27|2027-28;;1050000.0;1050000;RFA;0;0
Taylor, Trey;DAL;ELC;D;24;2026-27;;975000.0;RFA;0;0;0
Muhonen, Niilopekka;DAL;ELC;D;20;2026-27|2027-28|2028-29;;950000.0;950000;950000;RFA;0
Punnett, Connor;DAL;ELC;D;23;2026-27;;945000.0;RFA;0;0;0
Bertucci, Tristan;DAL;ELC;D;21;2026-27|2027-28;;934166.0;934166;RFA;0;0
Krys, Luke;DAL;;D;25;;;875000.0;875000;UFA;0;0
Burroughs, Kyle;DAL;;D;31;;;850000.0;UFA;0;0;0
Tiefensee, Arno;DAL;ELC;G;24;2026-27;;925000.0;RFA;0;0;0
Halverson, Brandon;DAL;;G;30;;;850000.0;UFA;0;0;0
Poirier, Remi;DAL;;G;24;;;850000.0;0;0;0;0
undefined, undefined;DAL;;;;;;;;;;
