Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Larkin, Dylan;DET;;C;30;;;8700000;8700000;8700000;8700000;8700000.0
Seider, Moritz;DET;;RD;25;;;8550000;8550000;8550000;8550000;8550000.0
Raymond, Lucas;DET;;RW;24;;;8075000;8075000;8075000;8075000;8075000.0
Debrincat, Alex;DET;;LW,RW;28;;;7875000;UFA;0;0;0.0
Faulk, Justin;DET;;RD;34;;;6500000;UFA;0;0;0.0
Gibson, John;DET;;G;33;;;6400000;UFA;0;0;0.0
Copp, Andrew;DET;;C,LW;32;;;5625000;UFA;0;0;0.0
Compher, J.T.;DET;;C,RW;31;;;5100000;5100000;UFA;0;0.0
Arvidsson, Viktor;DET;;LW,RW;33;;;5000000;5000000;UFA;0;0.0
Chiarot, Ben;DET;;LD;35;;;3850000;3850000;3850000;UFA;0.0
Rasmussen, Michael;DET;;C;27;;;3200000;3200000;UFA;0;0.0
Appleton, Mason;DET;;RW;30;;;2900000;UFA;0;0;0.0
Kolesar, Keegan;DET;;RW;29;;;2500000;2500000;UFA;0;0.0
Tarasov, Daniil;DET;;G;27;;;2000000;UFA;0;0;0.0
Bernard-Docker, Jacob;DET;;RD;26;;;1600000;1600000;UFA;0;0.0
Johansson, Albert;DET;;LD,RD;25;;;1125000;RFA;0;0;0.0
Augustine, Trey;DET;ELC;G;21;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0.0
James, Dylan;DET;ELC;LW;22;2026-27|2027-28;;1050000;1050000;RFA;0;0.0
Rochette, Théo;DET;ELC;;24;2026-27;;1025000;RFA;0;0;0.0
Genborg, Eddie;DET;ELC;LW;19;2026-27|2027-28|2028-29;;997500;997500;997500;RFA;0.0
Dower Nilsson, Noah;DET;ELC;C,RW;21;2026-27|2027-28|2028-29;;990000;990000;990000;RFA;0.0
Postava, Michal;DET;ELC;G;24;2026-27;;975000;RFA;0;0;0.0
Bear, Carter;DET;ELC;C,LW;19;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0.0
Johansson, Anton;DET;ELC;D;22;2026-27|2027-28;;970000;970000;RFA;0;0.0
Brandsegg-Nygård, Michael;DET;ELC;RW,LW;20;2026-27|2027-28;;953750;953750;RFA;0;0.0
Kiiskinen, Jesse;DET;ELC;RW;21;2026-27|2027-28;;945833;945833;RFA;0;0.0
Buium, Shai;DET;ELC;D;23;2026-27;;942500;RFA;0;0;0.0
Sandin Pellikka, Axel;DET;ELC;RD;21;2026-27|2027-28;;940833;940833;RFA;0;0.0
Becher, Ondrej;DET;ELC;C,W;22;2026-27;;940000;RFA;0;0;0.0
Finnie, Emmitt;DET;ELC;C,LW;21;2026-27|2027-28;;921667;921667;RFA;0;0.0
Danielson, Nate;DET;ELC;C;21;2026-27|2027-28;;909166;909166;RFA;0;0.0
Kasper, Marco;DET;ELC;C;22;2026-27;;886666;RFA;0;0;0.0
Mazur, Carter;DET;;LW;24;;;875000;875000;RFA;0;0.0
Dries, Sheldon;DET;;C,W;32;;;875000;875000;UFA;0;0.0
Wallinder, William;DET;;D;24;;;875000;875000;RFA;0;0.0
Shine, Dominik;DET;;C,RW;33;;;875000;875000;UFA;0;0.0
Bryson, Jacob;DET;;LD,RD;28;;;850000;UFA;0;0;0.0
Butler, Cameron;DET;;RW;24;;;850000;0;0;0;0.0
Stillman, Chase;DET;;RW,LW;23;;;850000;RFA;0;0;0.0
Gylander, Carter;DET;;G;25;;;850000;RFA;0;0;0.0
Skoog, Wilmer;DET;;C,LW;27;;;850000;UFA;0;0;0.0
Leonard, John;DET;;LW,RW;28;;;850000;UFA;0;0;0.0
Lagesson, William;DET;;LD;30;;;850000;UFA;0;0;0.0
Attard, Ronald;DET;;D;27;;;850000;UFA;0;0;0.0
Edvinsson, Simon;DET;;LD;23;;;RFA;0;0;0;0.0
Viro, Eemil;DET;;D;24;;;RFA;0;0;0;0.0
undefined, undefined;DET;;;;;;;;;;
