Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Draisaitl, Leon;EDM;;C,LW;30;;;14000000;14000000;14000000;14000000;14000000.0
McDavid, Connor;EDM;;C;29;;;12500000;12500000;UFA;0;0.0
Bouchard, Evan;EDM;;RD;26;;;10500000;10500000;10500000;UFA;0.0
Walman, Jake;EDM;;LD,RD;30;;;7000000;7000000;7000000;7000000;7000000.0
Hyman, Zach;EDM;;RW,LW;34;;;5500000;5500000;UFA;0;0.0
Jarry, Tristan;EDM;;G;31;;;5375000;5375000;UFA;0;0.0
Nugent-Hopkins, Ryan;EDM;;C,LW;33;;;5125000;5125000;5125000;UFA;0.0
Murphy, Connor;EDM;;RD;33;;;4100000;4100000;4100000;4100000;4100000.0
Ekholm, Mattias;EDM;;LD;36;;;4000000;4000000;4000000;UFA;0.0
Shea, Ryan;EDM;;LD;29;;;4000000;4000000;4000000;4000000;4000000.0
Dickinson, Jason;EDM;;C,LW;31;;;4000000;4000000;4000000;4000000;4000000.0
Frederic, Trent;EDM;;LW,RW;28;;;3850000;3850000;3850000;3850000;3850000.0
Podkolzin, Vasily;EDM;;LW;25;;;2950000;2950000;2950000;UFA;0.0
Campbell, Jack;EDM;;G;34;;;2600000;1500000;1500000;1500000;0.0
Kapanen, Kasperi;EDM;;RW,C;30;;;2600000;UFA;0;0;0.0
Mukhamadullin, Shakir;EDM;;LD,RD;24;;;1750000;1750000;RFA;0;0.0
Stastney, Spencer;EDM;;LD;26;;;1525000;UFA;0;0;0.0
Janmark, Mattias;EDM;;C,LW;33;;;1450000;UFA;0;0;0.0
Emberson, Ty;EDM;;RD,LD;26;;;1300000;UFA;0;0;0.0
Dach, Colton;EDM;;C,LW;23;;;1200000;1200000;RFA;0;0.0
Joseph, Mathieu;EDM;;LW,RW;29;;;1000000;UFA;0;0;0.0
Brown, Josh;EDM;;RD;32;;;1000000;UFA;0;0;0.0
Andersen, Frederik;EDM;;G;36;;;1000000;UFA;0;0;0.0
Nicholl, William;EDM;ELC;C,LW;20;2026-27|2027-28|2028-29;;985000;985000;985000;RFA;0.0
Samanski, Josh;EDM;ELC;C,LW;24;2026-27;;975000;RFA;0;0;0.0
Howard, Isaac;EDM;ELC;LW;22;2026-27|2027-28;;972500;972500;RFA;0;0.0
Day, Nathaniel;EDM;ELC;G;21;2026-27|2027-28;;956667;956667;RFA;0;0.0
Cibulka, Tomas;EDM;ELC;;22;2026-27|2027-28;;955000;955000;RFA;0;0.0
Jonsson, Samuel;EDM;ELC;G;22;2026-27|2027-28;;955000;955000;RFA;0;0.0
Marjala, Viljami;EDM;ELC;C,LW;23;2026-27;;947500;RFA;0;0;0.0
Stefan, James;EDM;ELC;RW,LW;23;2026-27;;945000;RFA;0;0;0.0
Carfagna, Damien;EDM;ELC;D;23;2026-27;;937500;RFA;0;0;0.0
Clattenburg, Connor;EDM;ELC;LW;21;2026-27|2027-28;;928333;928333;RFA;0;0.0
Michaels, Owen;EDM;;;24;;;900000;900000;RFA;0;0.0
Stonehouse, Brady;EDM;ELC;RW,LW;22;2026-27;;896667;RFA;0;0;0.0
Akey, Beau;EDM;ELC;D;21;2026-27|2027-28;;894166;894166;RFA;0;0.0
Savoie, Matthew;EDM;ELC;RW,LW;22;2026-27;;886666;RFA;0;0;0.0
Hutson, Quinn;EDM;;;24;;;875000;875000;RFA;0;0.0
Leppänen, Atro;EDM;;;27;;;850000;UFA;0;0;0.0
Raty, Aku;EDM;;RW,LW;25;;;850000;RFA;0;0;0.0
Tralmaks, Eduards;EDM;;LW,RW;29;;;850000;UFA;0;0;0.0
Ungar, Connor;EDM;;G;24;;;850000;RFA;0;0;0.0
Jones, Max;EDM;;LW,RW;28;;;850000;UFA;0;0;0.0
Regula, Alec;EDM;;RD;26;;;850000;0;0;0;0.0
Stillman, Riley;EDM;;LD;28;;;850000;UFA;0;0;0.0
Tomkins, Matt;EDM;;G;32;;;850000;UFA;0;0;0.0
Levi, Devon;EDM;;G;24;;;812500;RFA;0;0;0.0
Jarventie, Roby;EDM;;LW,RW;24;;;RFA;0;0;0;0.0
undefined, undefined;EDM;;;;;;;;;;
