Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Barkov, Aleksander;FLA;;C;30;;;10000000.0;10000000;10000000;10000000;UFA
Tkachuk, Matthew;FLA;;LW,RW;28;;;9500000.0;9500000;9500000;9500000;UFA
Reinhart, Sam;FLA;;RW;30;;;8625000.0;8625000;8625000;8625000;8625000
Tkachuk, Brady;FLA;;LW;26;;;8205714.0;8205714;UFA;0;0
Bennett, Sam;FLA;;C;30;;;8000000.0;8000000;8000000;8000000;8000000
Verhaeghe, Carter;FLA;;LW;31;;;7000000.0;7000000;7000000;7000000;7000000
Marchand, Brad;FLA;;RW,LW;38;;;5250000.0;5250000;5250000;5250000;5250000
Lundell, Anton;FLA;;C;24;;;5000000.0;5000000;5000000;5000000;UFA
Luostarinen, Eetu;FLA;;LW,C;27;;;3000000.0;5000000;5000000;5000000;5000000
Hathaway, Garnet;FLA;;RW,LW;34;;2026-27;2400000.0;UFA;0;0;0
Gadjovich, Jonah;FLA;;LW;27;;;905000.0;905000;UFA;0;0
Schwindt, Cole;FLA;;RW,C;25;;;875000.0;875000;UFA;0;0
Eller, Lars;FLA;;C,LW;37;;;850000.0;UFA;0;0;0
Jones, Seth;FLA;;RD;31;;2026-27|2027-28|2028-29|2029-30;9500000.0;9500000;9500000;9500000;UFA
Ekblad, Aaron;FLA;;RD;30;;;6100000.0;6100000;6100000;6100000;6100000
Forsling, Gustav;FLA;;LD;30;;;5750000.0;5750000;5750000;5750000;5750000
Mikkola, Niko;FLA;;LD;30;;;5000000.0;5000000;5000000;5000000;5000000
Gudas, Radko;FLA;;RD;36;;;1500000.0;1500000;1500000;1500000;1500000
Kulikov, Dmitry;FLA;;LD,RD;35;;;1180000.0;1180000;UFA;0;0
Balinskis, Uvis;FLA;;LD,RD;30;;;875000.0;875000;UFA;0;0
Markstrom, Jacob;FLA;;G;36;;;6000000.0;6000000;UFA;0;0
Schmid, Akira;FLA;;G;26;;;2000000.0;2000000;UFA;0;0
Devine, Jack;FLA;ELC;RW;22;2026-27|2027-28;;972500.0;972500;RFA;0;0
Sawchyn, Gracyn;FLA;ELC;C;21;2026-27|2027-28;;934166.0;934166;RFA;0;0
Vilmanis, Sandis;FLA;ELC;LW,RW;22;2026-27|2027-28|2028-29;;930000.0;925000;925000;RFA;0
St. Martin, Hunter;FLA;ELC;LW;21;2026-27|2027-28;;928889.0;928889;RFA;0;0
Schwindt, Kai;FLA;ELC;LW;22;2026-27;;873334.0;RFA;0;0;0
Lafferty, Sam;FLA;;RW,C;31;;;850000.0;UFA;0;0;0
Imama, Bokondji;FLA;;LW,RW;30;;;850000.0;UFA;0;0;0
Entwistle, Mackenzie;FLA;;RW,C;27;;;850000.0;UFA;0;0;0
Crookshank, Angus;FLA;;LW,RW;26;;;850000.0;UFA;0;0;0
Beecher, John;FLA;;C,LW;25;;;850000.0;RFA;0;0;0
Reinhardt, Cole;FLA;;LW;26;;;812500.0;UFA;0;0;0
Shuravin, Matvei;FLA;ELC;D;20;2026-27|2027-28|2028-29;;1000000.0;1000000;1000000;RFA;0
Jansson, Ludvig;FLA;ELC;RD;22;2026-27|2027-28;;955000.0;955000;RFA;0;0
Pieniniemi, Emil;FLA;ELC;D;21;2026-27|2027-28;;906666.0;906666;RFA;0;0
Petrovic, Alexander;FLA;;RD;34;;;875000.0;875000;UFA;0;0
Alscher, Marek;FLA;ELC;LD;22;2026-27;;865000.0;RFA;0;0;0
Fitzgerald, Casey;FLA;;D;29;;;850000.0;UFA;0;0;0
Bjornfot, Tobias;FLA;;LD;25;;;850000.0;RFA;0;0;0
Sebrango, Donovan;FLA;;LD;24;;;850000.0;0;0;0;0
Hovorka, Mikulas;FLA;;RD;25;;;850000.0;RFA;0;0;0
Muszelik, Tyler;FLA;ELC;G;22;2026-27|2027-28;;960000.0;960000;RFA;0;0
Gerasimyuk, Kirill;FLA;ELC;G;23;2026-27;;925000.0;RFA;0;0;0
Black, Cooper;FLA;;G;25;;;875000.0;875000;UFA;0;0
undefined, undefined;FLA;;;;;;;;;;
