Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Panarin, Artemi;LAK;;LW;34;;;11000000.0;11000000;UFA;0;0.0
Kempe, Adrian;LAK;;LW,C;29;;;10625000.0;10625000;10625000;10625000;10625000.0
Fiala, Kevin;LAK;;LW;30;;;7875000.0;7875000;7875000;UFA;0.0
Byfield, Quinton;LAK;;C;24;;;6250000.0;6250000;6250000;UFA;0.0
Moore, Trevor;LAK;;LW,RW;31;;;4200000.0;4200000;UFA;0;0.0
Laferriere, Alex;LAK;;RW,C;24;;;4100000.0;4100000;RFA;0;0.0
Haula, Erik;LAK;;C,LW;35;;;3600000.0;3600000;UFA;0;0.0
Laughton, Scott;LAK;;C,LW;32;;;3500000.0;3500000;3500000;UFA;0.0
Armia, Joel;LAK;;RW,LW;33;;;2500000.0;UFA;0;0;0.0
Perry, Corey;LAK;;RW,LW;41;;;1000000.0;UFA;0;0;0.0
Zuccarello, Mats;LAK;;RW,LW;38;;;1000000.0;UFA;0;0;0.0
Helenius, Samuel;LAK;;C,LW;23;;;875000.0;875000;RFA;0;0.0
Ward, Taylor;LAK;;RW;28;;;875000.0;875000;UFA;0;0.0
Turcotte, Alex;LAK;;C,RW;25;;;850000.0;RFA;0;0;0.0
Doughty, Drew;LAK;;RD;36;;;11000000.0;UFA;0;0;0.0
Clarke, Brandt;LAK;;RD;23;;;7400000.0;7400000;7400000;7400000;7400000.0
Ceci, Cody;LAK;;RD;32;;;4500000.0;4500000;4500000;UFA;0.0
Anderson, Mikey;LAK;;LD;27;;;4125000.0;4125000;4125000;4125000;4125000.0
Dumoulin, Brian;LAK;;LD,RD;34;;;4000000.0;4000000;UFA;0;0.0
Edmundson, Joel;LAK;;LD;33;;;3850000.0;3850000;UFA;0;0.0
Gustafsson, Erik;LAK;;LD;34;;;1000000.0;UFA;0;0;0.0
Kuemper, Darcy;LAK;;G;36;;;5250000.0;UFA;0;0;0.0
Forsberg, Anton;LAK;;G;33;;;2250000.0;UFA;0;0;0.0
Richards, Mike;LAK;;C;41;;;600000.0;600000;600000;500000;500000.0
Hermansson, Elton;LAK;ELC;;18;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0.0
Cihar, Vojtech;LAK;ELC;LW;19;2026-27|2027-28|2028-29;;974167.0;974167;974167;RFA;0.0
Lombardi, Jimmy;LAK;ELC;C;19;2026-27|2027-28|2028-29;;956667.0;956667;956667;RFA;0.0
Slukynsky, Grant;LAK;ELC;;24;2026-27;;952500.0;RFA;0;0;0.0
Connors, Kenny;LAK;ELC;C;23;2026-27;;942500.0;RFA;0;0;0.0
Wright, Jared;LAK;ELC;RW,LW;23;2026-27;;942500.0;RFA;0;0;0.0
Lawrence, Kaleb;LAK;ELC;C,RW;23;2026-27;;927500.0;RFA;0;0;0.0
Ziemmer, Koehn;LAK;ELC;RW;21;2026-27|2027-28;;904166.0;904166;RFA;0;0.0
Pederson, Lane;LAK;;C,RW;29;;;875000.0;875000;UFA;0;0.0
Guttman, Cole;LAK;;C,RW;27;;;850000.0;UFA;0;0;0.0
Jenik, Jan;LAK;;W,C;25;;;850000.0;0;0;0;0.0
Lee, Andre;LAK;;LW,C;26;;;850000.0;0;0;0;0.0
Chromiak, Martin;LAK;;RW,LW;24;;;850000.0;RFA;0;0;0.0
Jamsen, Aatu;LAK;;RW,LW;24;;;850000.0;RFA;0;0;0.0
Pinelli, Francesco;LAK;;C;23;;;850000.0;RFA;0;0;0.0
Brzustewicz, Henry;LAK;ELC;D;19;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0.0
Woolley, Jared;LAK;ELC;D;20;2026-27|2027-28|2028-29;;958333.0;958333;958333;RFA;0.0
Salin, Otto;LAK;ELC;D;22;2026-27|2027-28;;956250.0;956250;RFA;0;0.0
Kirsanov, Kirill;LAK;ELC;D;23;2026-27;;942500.0;RFA;0;0;0.0
Dvorak, Jakub;LAK;ELC;D;21;2026-27|2027-28;;905000.0;905000;RFA;0;0.0
Booth, Angus;LAK;ELC;LD;22;2026-27;;901667.0;RFA;0;0;0.0
Hicketts, Joe;LAK;;D;30;;;850000.0;UFA;0;0;0.0
Perunovich, Scott;LAK;;D;28;;;850000.0;UFA;0;0;0.0
Slukynsky, Hampton;LAK;ELC;G;21;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0.0
George, Carter;LAK;ELC;G;20;2026-27|2027-28|2028-29;;929166.0;929166;929166;RFA;0.0
Portillo, Erik;LAK;;G;25;;;833333.0;0;0;0;0.0
undefined, undefined;LAK;;;;;;;;;;
