Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Kaprizov, Kirill;MIN;;LW;29;;;17000000.0;17000000;17000000;17000000;17000000
Boldy, Matt;MIN;;LW,RW;25;;;7000000.0;7000000;7000000;7000000;UFA
Eriksson Ek, Joel;MIN;;C;29;;;5250000.0;5250000;5250000;UFA;0
Foligno, Marcus;MIN;;LW,RW;35;;;4000000.0;4000000;UFA;0;0
Hartman, Ryan;MIN;;RW,C;31;;;4000000.0;UFA;0;0;0
Trenin, Yakov;MIN;;C,LW;29;;;3500000.0;3500000;UFA;0;0
McCarron, Michael;MIN;;C,RW;31;;;3333333.0;3333333;3333333;3333333;3333334
Brink, Bobby;MIN;;RW;25;;;2750000.0;RFA;0;0;0
Coleman, Blake;MIN;;LW,RW;34;;2026-27;4900000.0;UFA;0;0;0
Sturm, Nico;MIN;;C,LW;31;;;2000000.0;UFA;0;0;0
Shabanov, Maxim;MIN;;LW,RW;25;;;1600000.0;RFA;0;0;0
Yurov, Danila;MIN;ELC;C,RW;22;2026-27|2027-28;;972500.0;972500;RFA;0;0
Foligno, Nick;MIN;;LW,RW;38;;;900000.0;UFA;0;0;0
Kirkland, Justin;MIN;;C,LW;30;;;850000.0;UFA;0;0;0
Faber, Brock;MIN;;RD;24;;;8500000.0;8500000;8500000;8500000;8500000
Hughes, Quinn;MIN;;LD;26;;;7850000.0;UFA;0;0;0
Spurgeon, Jared;MIN;;RD;36;;;7575000.0;UFA;0;0;0
Brodin, Jonas;MIN;;LD;33;;;6000000.0;6000000;UFA;0;0
Maatta, Olli;MIN;;LD,RD;32;;;3500000.0;3500000;UFA;0;0
Bogosian, Zach;MIN;;RD,LD;36;;;1250000.0;UFA;0;0;0
Hunt, Daemon;MIN;;LD;24;;;900000.0;0;0;0;0
Gustavsson, Filip;MIN;;G;28;;;6800000.0;6800000;6800000;6800000;6800000
Wallstedt, Jesper;MIN;;G;23;;;2200000.0;RFA;0;0;0
Pickard, Calvin;MIN;;G;34;;;1000000.0;UFA;0;0;0
Parise, Zach;MIN;;LW,RW;42;;;833333.0;833333;833333;0;0
Suter, Ryan;MIN;;LD;41;;;833333.0;833333;833333;0;0
Stramel, Charlie;MIN;ELC;C,RW;21;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Lorenz, Rieger;MIN;ELC;LW,C;22;2026-27|2027-28;;1013750.0;1013750;RFA;0;0
Heidt, Riley;MIN;ELC;C,LW;21;2026-27|2027-28;;940833.0;940833;RFA;0;0
Kumpulainen, Rasmus;MIN;ELC;C;21;2026-27|2027-28;;924583.0;924583;RFA;0;0
Haight, Hunter;MIN;ELC;C,RW;22;2026-27;;883333.0;RFA;0;0;0
Joshua, Jagger;MIN;;;27;;;875000.0;875000;UFA;0;0
Pitlick, Tyler;MIN;;C,RW;34;;;850000.0;UFA;0;0;0
Gambrell, Dylan;MIN;;C;29;;;850000.0;UFA;0;0;0
Shaw, Mason;MIN;;C,LW;27;;;850000.0;UFA;0;0;0
Bankier, Caedan;MIN;;C;23;;;850000.0;RFA;0;0;0
Dexheimer, Ben;MIN;ELC;;24;2026-27;;980000.0;RFA;0;0;0
Gustafsson Nyberg, Viking;MIN;ELC;LD;22;2026-27;;975000.0;RFA;0;0;0
Leskovar, Stevie;MIN;ELC;D;21;2026-27|2027-28;;960000.0;960000;RFA;0;0
Peart, Jack;MIN;ELC;D;23;2026-27;;942500.0;RFA;0;0;0
Kiersted, Matt;MIN;;LD;28;;;850000.0;UFA;0;0;0
Lambos, Carson;MIN;;LD;23;;;850000.0;RFA;0;0;0
Schmidt, Roman;MIN;;D;23;;;850000.0;RFA;0;0;0
Spacek, David;MIN;;RD,LD;23;;;850000.0;RFA;0;0;0
Ruzicka, Filip;MIN;ELC;G;18;2026-27|2027-28|2028-29;;987500.0;987500;987500;RFA;0
Wutzke, Chase;MIN;ELC;G;20;2026-27|2027-28|2028-29;;958333.0;958333;958333;RFA;0
Mercer, Riley;MIN;ELC;G;22;2026-27|2027-28;;920000.0;920000;RFA;0;0
undefined, undefined;MIN;;;;;;;;;;
