Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Meier, Timo;NJD;;RW,LW;29;;;8800000.0;8800000;8800000;8800000;8800000
Hughes, Jack;NJD;;C;25;;;8000000.0;8000000;8000000;8000000;UFA
Bratt, Jesper;NJD;;LW,RW;28;;;7875000.0;7875000;7875000;7875000;7875000
Hischier, Nico;NJD;;C;27;;;7250000.0;11700000;11700000;11700000;11700000
Mantha, Anthony;NJD;;LW,RW;31;;;4750000.0;4750000;UFA;0;0
Mercer, Dawson;NJD;;C,RW;24;;;4000000.0;RFA;0;0;0
Gritsyuk, Arseny;NJD;;LW,RW;25;;;3250000.0;3250000;3250000;UFA;0
Rodrigues, Evan;NJD;;C,RW;33;;;3075000.0;UFA;0;0;0
Brown, Connor;NJD;;RW;32;;;3000000.0;3000000;3000000;UFA;0
Noesen, Stefan;NJD;;RW,LW;33;;;2750000.0;UFA;0;0;0
Glass, Cody;NJD;;C,RW;27;;;2500000.0;UFA;0;0;0
Bjugstad, Nick;NJD;;C,RW;34;;;1750000.0;UFA;0;0;0
Boqvist, Jesper;NJD;;C,LW;27;;;1500000.0;UFA;0;0;0
Hamilton, Dougie;NJD;;RD;33;;;9000000.0;9000000;UFA;0;0
Hughes, Luke;NJD;;LD,RD;22;;;9000000.0;9000000;9000000;9000000;9000000
Pesce, Brett;NJD;;RD;31;;;5500000.0;5500000;5500000;5500000;UFA
Dillon, Brenden;NJD;;LD;35;;;4000000.0;UFA;0;0;0
Kovacevic, Johnathan;NJD;;D;29;;;4000000.0;4000000;4000000;4000000;UFA
Siegenthaler, Jonas;NJD;;LD;29;;;3400000.0;3400000;UFA;0;0
Chisholm, Declan;NJD;;LD;26;;;1600000.0;UFA;0;0;0
Allen, Jake;NJD;;G;36;;;1800000.0;1800000;1800000;1800000;UFA
Daws, Nico;NJD;;G;25;;;1100000.0;1100000;UFA;0;0
Rittich, David;NJD;;G;34;;;1000000.0;UFA;0;0;0
Hämeenaho, Lenni;NJD;ELC;RW;21;2026-27|2027-28;;972500.0;972500;RFA;0;0
Melovsky, Matyas;NJD;ELC;C,W;22;2026-27|2027-28;;972500.0;972500;RFA;0;0
Lachance, Shane;NJD;ELC;LW;22;2026-27;;942500.0;RFA;0;0;0
Squires, Cam;NJD;ELC;RW;21;2026-27|2027-28;;938333.0;938333;RFA;0;0
Filmon, Josh;NJD;ELC;LW,RW;22;2026-27;;913333.0;RFA;0;0;0
White, Colin;NJD;;C,RW;29;;;900000.0;UFA;0;0;0
Lombardi, Amadeus;NJD;;C;23;;;875000.0;875000;RFA;0;0
Tufte, Riley;NJD;;LW,RW;28;;;850000.0;UFA;0;0;0
McLaughlin, Marc;NJD;;C,RW;27;;;850000.0;UFA;0;0;0
Steeves, Ben;NJD;;LW;24;;;850000.0;RFA;0;0;0
Parent, Xavier;NJD;;LW,C;25;;;850000.0;RFA;0;0;0
Silayev, Anton;NJD;ELC;D;20;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Casey, Seamus;NJD;ELC;D;22;2026-27;;950000.0;RFA;0;0;0
Diotte, Mikael;NJD;ELC;D;23;2026-27;;950000.0;RFA;0;0;0
Edwards, Ethan;NJD;ELC;D;24;2026-27;;942500.0;RFA;0;0;0
Morin, Etienne;NJD;ELC;D;21;2026-27|2027-28;;934166.0;934166;RFA;0;0
Hanzel, Jeremy;NJD;ELC;D;23;2026-27;;926667.0;RFA;0;0;0
Kolyachonok, Vladislav;NJD;;LD;25;;;850000.0;RFA;0;0;0
Vilen, Topias;NJD;;LD;23;;;850000.0;RFA;0;0;0
Málek, Jakub;NJD;;G;24;;;875000.0;875000;RFA;0;0
undefined, undefined;NJD;;;;;;;;;;
