Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Barzal, Mathew;NYI;;C,RW;29;;;9150000;9150000;9150000;9150000;9150000
Horvat, Bo;NYI;;C;31;;;8500000;8500000;8500000;8500000;8500000
Sorokin, Ilya;NYI;;G;31;;;8250000;8250000;8250000;8250000;8250000
Schenn, Brayden;NYI;;C,LW;35;;;6500000;6500000;UFA;0;0
Romanov, Alexander;NYI;;LD;26;;;6250000;6250000;6250000;6250000;6250000
Pulock, Ryan;NYI;;RD;31;;;6150000;6150000;6150000;6150000;UFA
Palat, Ondrej;NYI;;LW,RW;35;;;6000000;UFA;0;0;0
Pelech, Adam;NYI;;LD;32;;;5750000;5750000;5750000;UFA;0
Pageau, Jean-Gabriel;NYI;;C;33;;;4850000;4850000;4850000;UFA;0
Palmieri, Kyle;NYI;;RW;35;;;4750000;UFA;0;0;0
DeAngelo, Tony;NYI;;RD;30;;;4500000;4500000;UFA;0;0
Holmstrom, Simon;NYI;;RW,LW;25;;;3625000;RFA;0;0;0
Duclair, Anthony;NYI;;LW,RW;30;;;3500000;3500000;UFA;0;0
Mayfield, Scott;NYI;;RD;33;;;3500000;3500000;3500000;3500000;UFA
Engvall, Pierre;NYI;;LW,RW;30;;;3000000;3000000;3000000;3000000;UFA
Varlamov, Semyon;NYI;;G;38;;;2750000;UFA;0;0;0
Cizikas, Casey;NYI;;C,LW;35;;;2500000;UFA;0;0;0
Maccelli, Matias;NYI;;LW,RW;25;;;2250000;RFA;0;0;0
Heineman, Emil;NYI;;LW,RW;24;;;1100000;RFA;0;0;0
Gustafsson, Malte;NYI;ELC;;18;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Aitcheson, Kashawn;NYI;ELC;D;19;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Eiserman, Cole;NYI;ELC;LW;19;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Vanecek, Vitek;NYI;;G;30;;;1000000;UFA;0;0;0
Schaefer, Matthew;NYI;ELC;LD;18;2026-27|2027-28;;986250;986250;RFA;0;0
Finley, Quinn;NYI;ELC;LW;22;2026-27|2027-28;;980000;980000;RFA;0;0
Eklund, Victor;NYI;ELC;LW,RW;19;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0
Kotai, Joshua;NYI;ELC;G;23;2026-27|2027-28;;965000;965000;RFA;0;0
Prokhorov, Daniil;NYI;ELC;;19;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Ritchie, Calum;NYI;ELC;C,LW;21;2026-27|2027-28;;940833;940833;RFA;0;0
Nurmi, Jesse;NYI;ELC;LW;21;2026-27|2027-28;;938333;938333;RFA;0;0
Veremyev, Gleb;NYI;ELC;C;23;2026-27;;935000;RFA;0;0;0
Pulkkinen, Jesse;NYI;ELC;D;21;2026-27;;930833;RFA;0;0;0
George, Isaiah;NYI;ELC;LD,RD;22;2026-27;;913333;RFA;0;0;0
Larson, Joey;NYI;;RW;25;;;875000;875000;UFA;0;0
Kuefler, Daylan;NYI;;LW;24;;;875000;875000;RFA;0;0
Odelius, Calle;NYI;ELC;D;22;2026-27;;865000;RFA;0;0;0
MacLean, Kyle;NYI;;LW,RW;27;;;850000;UFA;0;0;0
Chaffee, Mitchell;NYI;;RW;28;;;850000;UFA;0;0;0
Luff, Matt;NYI;;RW;29;;;850000;UFA;0;0;0
Warren, Marshall;NYI;;LD;25;;;850000;RFA;0;0;0
Jefferies, Alex;NYI;;LW;24;;;850000;RFA;0;0;0
Foudy, Liam;NYI;;C,RW;26;;;850000;UFA;0;0;0
Bear, Ethan;NYI;;D;29;;;850000;UFA;0;0;0
Tikkanen, Henrik;NYI;;G;25;;;850000;RFA;0;0;0
Kessel, Matthew;NYI;;RD;26;;;850000;UFA;0;0;0
Iskhakov, Ruslan;NYI;;C,LW;26;;;RFA;0;0;0;0
undefined, undefined;NYI;;;;;;;;;;
