Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Shesterkin, Igor;NYR;;G;30;;;11567857;11567857;11567857;11567857;11567857
Dorofeyev, Pavel;NYR;;LW,RW;25;;;11000000;11000000;11000000;11000000;11000000
Fox, Adam;NYR;;RD;28;;;9500000;9500000;9500000;UFA;0
Zibanejad, Mika;NYR;;C,RW;33;;;8500000;8500000;8500000;8500000;UFA
Miller, J.T.;NYR;;C,LW;33;;;8000000;8000000;8000000;8000000;UFA
Lafreniere, Alexis;NYR;;RW,LW;24;;;7450000;7450000;7450000;7450000;7450000
Gavrikov, Vladislav;NYR;;LD;30;;;7000000;7000000;7000000;7000000;7000000
Durzi, Sean;NYR;;RD;27;;;6000000;6000000;UFA;0;0
Schneider, Braden;NYR;;RD,LD;24;;;5500000;RFA;0;0;0
Pettersson, Marcus;NYR;;LD;30;;;5500000;5500000;5500000;5500000;5500000
Bjorkstrand, Oliver;NYR;;RW;31;;;4500000;UFA;0;0;0
Korpisalo, Joonas;NYR;;G;32;;2026-27|2027-28;4000000;4000000;UFA;0;0
Cuylle, Will;NYR;;LW;24;;;3900000;RFA;0;0;0
Vaakanainen, Urho;NYR;;LD;27;;;1550000;UFA;0;0;0
Raddysh, Taylor;NYR;;RW;28;;;1500000;UFA;0;0;0
Parssinen, Juuso;NYR;;C,LW;25;;;1250000;RFA;0;0;0
Kartye, Tye;NYR;;LW,C;25;;;1250000;RFA;0;0;0
Veleno, Joseph;NYR;;C,LW;26;;;1200000;UFA;0;0;0
Smits, Alberts;NYR;ELC;LD,RD;18;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Lamb, Brody;NYR;ELC;RW;22;2026-27|2027-28;;980000;980000;RFA;0;0
Rempe, Matt;NYR;;RW,C;24;;;975000;RFA;0;0;0
Tung, Callum;NYR;ELC;G;22;2026-27|2027-28;;972500;972500;RFA;0;0
Battaglia, Jacob;NYR;ELC;RW,LW;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Terrance, Carey;NYR;ELC;C;21;2026-27|2027-28;;961667;961667;RFA;0;0
Aspinall, Nathan;NYR;ELC;LW;20;2026-27|2027-28|2028-29;;955555;955555;955555;RFA;0
Dorrington, Jackson;NYR;ELC;D;22;2026-27|2027-28;;951667;951667;RFA;0;0
Fortescue, Drew;NYR;ELC;LD;21;2026-27|2027-28;;945833;945833;RFA;0;0
Laba, Noah;NYR;ELC;C;23;2026-27;;945000;RFA;0;0;0
Chmelar, Jaroslav;NYR;ELC;RW,LW;23;2026-27;;942500;RFA;0;0;0
Perreault, Gabe;NYR;ELC;LW,RW;21;2026-27;;941667;RFA;0;0;0
Greentree, Liam;NYR;ELC;RW;20;2026-27|2027-28|2028-29;;941667;941667;941667;RFA;0
Beaudoin, Cole;NYR;ELC;C;20;2026-27|2027-28|2028-29;;941667;941667;941667;RFA;0
Roobroeck, Dylan;NYR;ELC;C,LW;22;2026-27;;925000;RFA;0;0;0
Thompson, Aidan;NYR;ELC;C,LW;24;2026-27;;920000;RFA;0;0;0
McConnell-Barker, Bryce;NYR;ELC;C;22;2026-27;;913333;RFA;0;0;0
Sýkora, Adam;NYR;ELC;LW,C;21;2026-27;;881666;RFA;0;0;0
Del Gaizo, Marc;NYR;;D;26;;;875000;875000;UFA;0;0
Garand, Dylan;NYR;;G;24;;;875000;875000;RFA;0;0
Cholowski, Dennis;NYR;;LD;28;;;875000;875000;UFA;0;0
Gawdin, Glenn;NYR;;C,RW;29;;;875000;875000;UFA;0;0
Iorio, Vincent;NYR;;RD;23;;;850000;RFA;0;0;0
Robertson, Matthew;NYR;;LD;25;;;850000;0;0;0;0
Trudeau, William;NYR;;D;23;;;850000;RFA;0;0;0
Morrow, Scott;NYR;;RD;23;;;850000;RFA;0;0;0
Blidh, Anton;NYR;;LW;31;;;850000;UFA;0;0;0
Dowling, Justin;NYR;;C,W;35;;;850000;UFA;0;0;0
Martin, Spencer;NYR;;G;31;;;850000;UFA;0;0;0
Pajuniemi, Lauri;NYR;;RW;26;;;RFA;0;0;0;0
Henriksson, Karl;NYR;;C,LW;25;;;RFA;0;0;0;0
undefined, undefined;NYR;;;;;;;;;;
