Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Zegras, Trevor;PHI;;C,LW;25;;;9125000.0;9125000;9125000;9125000;UFA
Konecny, Travis;PHI;;RW,LW;29;;;8750000.0;8750000;8750000;8750000;8750000
Couturier, Sean;PHI;;C,LW;33;;;7750000.0;7750000;7750000;7750000;UFA
Tippett, Owen;PHI;;RW,LW;27;;;6200000.0;6200000;6200000;6200000;6200000
Dvorak, Christian;PHI;;LW,C;30;;;5150000.0;5150000;5150000;5150000;5150000
Cates, Noah;PHI;;C;27;;;4000000.0;4000000;4000000;UFA;0
Foerster, Tyson;PHI;;RW,LW;24;;;3750000.0;7100000;7100000;7100000;7100000
Acciari, Noel;PHI;;C,RW;34;;;2800000.0;2800000;UFA;0;0
Grebenkin, Nikita;PHI;;LW,RW;23;;;1100000.0;1100000;RFA;0;0
Grundstrom, Carl;PHI;;LW,C;28;;;1000000.0;UFA;0;0;0
Martone, Porter;PHI;ELC;RW;19;2026-27|2027-28;;977917.0;977917;RFA;0;0
Bump, Alex;PHI;ELC;LW;22;2026-27|2027-28;;972500.0;972500;RFA;0;0
Michkov, Matvei;PHI;ELC;LW,RW;21;2026-27;;950000.0;RFA;0;0;0
Barkey, Denver;PHI;ELC;C,LW;21;2026-27|2027-28;;925833.0;925833;RFA;0;0
Drysdale, Jamie;PHI;;RD;24;;;6500000.0;6500000;6500000;6500000;UFA
Sanheim, Travis;PHI;;LD,RD;30;;;6250000.0;6250000;6250000;6250000;6250000
York, Cameron;PHI;;LD;25;;;5150000.0;5150000;5150000;5150000;UFA
Ristolainen, Rasmus;PHI;;RD;31;;;5100000.0;UFA;0;0;0
Seeler, Nick;PHI;;LD;33;;;2700000.0;2700000;UFA;0;0
Jiricek, David;PHI;;RD;22;;;1500000.0;1500000;RFA;0;0
Benoit, Simon;PHI;;LD,RD;27;;;1350000.0;UFA;0;0;0
Woll, Joseph;PHI;;G;28;;;3666667.0;3666667;UFA;0;0
Vladar, Dan;PHI;;G;29;;;3350000.0;5500000;5500000;5500000;5500000
Hathaway, Garnet;PHI;;RW,LW;34;;2026-27;2400000.0;0;0;0;0
Berglund, Jack;PHI;ELC;C,LW;20;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Thompson, Riley;PHI;ELC;;24;2026-27;;1025000.0;RFA;0;0;0
Ciernik, Alex;PHI;ELC;LW,RW;21;2026-27|2027-28|2028-29;;1007500.0;1007500;1007500;RFA;0
Powell, Noah;PHI;ELC;RW;21;2026-27|2027-28|2028-29;;985000.0;985000;985000;RFA;0
Pautov, Ilya;PHI;ELC;RW;20;2026-27|2027-28|2028-29;;985000.0;985000;985000;RFA;0
Knuble, Cole;PHI;ELC;C;22;2026-27|2027-28;;980000.0;980000;RFA;0;0
Kaplan, Devin;PHI;ELC;RW;22;2026-27;;946667.0;RFA;0;0;0
Luchanko, Jett;PHI;ELC;C,RW;20;2026-27|2027-28|2028-29;;941667.0;941667;941667;RFA;0
Aston-Reese, Zach;PHI;;LW;32;;;875000.0;875000;UFA;0;0
Studnicka, Jack;PHI;;C,RW;27;;;875000.0;875000;UFA;0;0
Foote, Nolan;PHI;;LW,RW;25;;;850000.0;0;0;0;0
Klimovich, Danila;PHI;;RW,LW;23;;;850000.0;RFA;0;0;0
Gaucher, Jacob;PHI;;C,LW;25;;;850000.0;RFA;0;0;0
Murchison, Ty;PHI;ELC;LD;23;2026-27;;935000.0;RFA;0;0;0
Gill, Spencer;PHI;ELC;D;20;2026-27|2027-28|2028-29;;932500.0;932500;932500;RFA;0
McDonald, Hunter;PHI;;LD;24;;;912500.0;912500;RFA;0;0
Bonk, Oliver;PHI;ELC;RD;21;2026-27|2027-28;;909166.0;909166;RFA;0;0
Edward, Jackson;PHI;ELC;D;22;2026-27;;906667.0;RFA;0;0;0
Dineen, Cam;PHI;;LD;28;;;875000.0;875000;UFA;0;0
Grans, Helge;PHI;;D;24;;;837500.0;0;0;0;0
Bjarnason, Carson;PHI;ELC;G;21;2026-27|2027-28;;885000.0;885000;RFA;0;0
Kolosov, Alexei;PHI;;G;24;;;850000.0;0;0;0;0
undefined, undefined;PHI;;;;;;;;;;
