Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Karlsson, Erik;PIT;;RD;36;;2026-27;11500000;UFA;0;0;0
Crosby, Sidney;PIT;;C;39;;;8700000;UFA;0;0;0
Chinakhov, Egor;PIT;;LW;25;;;6250000;6250000;6250000;UFA;0
Letang, Kris;PIT;;RD;39;;;6100000;6100000;UFA;0;0
Malkin, Evgeni;PIT;;C,RW;40;;;5500000;UFA;0;0;0
Rust, Bryan;PIT;;RW,LW;34;;;5125000;5125000;UFA;0;0
Rakell, Rickard;PIT;;RW,LW;33;;;5000000;5000000;UFA;0;0
Kuzmenko, Andrei;PIT;;LW;30;;;5000000;UFA;0;0;0
Girard, Samuel;PIT;;LD;28;;;5000000;UFA;0;0;0
Graves, Ryan;PIT;;LD;31;;;4500000;4500000;4500000;UFA;0
van Riemsdyk, Trevor;PIT;;RD,LD;35;;;4000000;4000000;UFA;0;0
Koivunen, Ville;PIT;;LW,RW;23;;;4000000;4000000;4000000;4000000;4000000
Novak, Thomas;PIT;;C,LW;29;;;3500000;4650000;4650000;4650000;UFA
Korczak, Kaedan;PIT;;RD;25;;;3250000;3250000;3250000;3250000;UFA
Robertson, Nicholas;PIT;;LW,RW;24;;;3250000;3250000;RFA;0;0
Silovs, Arturs;PIT;;G;25;;;2800000;RFA;0;0;0
Dewar, Connor;PIT;;C,LW;27;;;2250000;2250000;UFA;0;0
Lizotte, Blake;PIT;;C,LW;28;;;2250000;2250000;2250000;UFA;0
Brazeau, Justin;PIT;;RW,LW;28;;;1500000;UFA;0;0;0
Carlile, Declan;PIT;;LD;26;;;1500000;1500000;UFA;0;0
Lapierre, Hendrix;PIT;;C,LW;24;;;1300000;1300000;RFA;0;0
Soderblom, Elmer;PIT;;LW,RW;25;;;1125000;RFA;0;0;0
Zonnon, Bill;PIT;ELC;LW;19;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Galvas, Tomas;PIT;ELC;D;20;2026-27|2027-28|2028-29;;1007500;1007500;1007500;RFA;0
Wotherspoon, Parker;PIT;;LD;29;;2026-27;1000000;0;0;0;0
D'Aigle, Gabriel;PIT;ELC;G;19;2026-27|2027-28|2028-29;;995000;995000;995000;RFA;0
Kindel, Benjamin;PIT;ELC;C,RW;19;2026-27|2027-28;;986250;986250;RFA;0;0
Livanavage, Jake;PIT;ELC;LD;22;2026-27;;975000;RFA;0;0;0
Fernström, Melvin;PIT;ELC;RW;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Pietila, Chase;PIT;ELC;D;22;2026-27|2027-28;;960000;960000;RFA;0;0
Kettles, Peyton;PIT;ELC;D;18;2026-27|2027-28|2028-29;;958333;958333;958333;RFA;0
Harding, Finn;PIT;ELC;D;21;2026-27|2027-28;;955000;955000;RFA;0;0
Ilyin, Mikhail Ye.;PIT;ELC;LW,RW;21;2026-27|2027-28;;951667;951667;RFA;0;0
McGroarty, Rutger;PIT;ELC;LW,C;22;2026-27;;950000;RFA;0;0;0
Broz, Tristan;PIT;ELC;C,LW;23;2026-27;;942500;RFA;0;0;0
Murashov, Sergei;PIT;ELC;G;22;2026-27;;936110;RFA;0;0;0
Laatsch, Daniel;PIT;ELC;D;24;2026-27;;935000;RFA;0;0;0
Calvert, Atley;PIT;ELC;;22;2026-27|2027-28;;930000;930000;RFA;0;0
Howe, Tanner;PIT;ELC;LW;20;2026-27|2027-28|2028-29;;929166;929166;929166;RFA;0
Brunicke, Harrison;PIT;ELC;RD;20;2026-27|2027-28|2028-29;;929166;929166;929166;RFA;0
Hayes, Avery;PIT;ELC;C,RW;23;2026-27;;905000;RFA;0;0;0
Jones, Caleb;PIT;;D;29;;;900000;UFA;0;0;0
Pickering, Owen;PIT;ELC;D;22;2026-27;;886667;RFA;0;0;0
Blomqvist, Joel;PIT;;G;24;;;875000;875000;RFA;0;0
Hallander, Filip;PIT;;C,LW;26;;;850000;UFA;0;0;0
Gauthier, Taylor;PIT;;G;25;;;850000;0;0;0;0
Okuliar, Oliver;PIT;;LW,RW;26;;;850000;UFA;0;0;0
Gustafsson, David;PIT;;C,LW;26;;;850000;UFA;0;0;0
Kemp, Philip;PIT;;D;27;;;850000;UFA;0;0;0
Solovyov, Ilya;PIT;;LD;26;;;850000;0;0;0;0
Ponomarev, Vasiliy;PIT;;C,LW;24;;;RFA;0;0;0;0
Alexeyev, Alexander;PIT;;D;26;;;RFA;0;0;0;0
undefined, undefined;PIT;;;;;;;;;;
