Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Dunn, Vince;SEA;;LD;29;;;7350000;UFA;0;0;0
Montour, Brandon;SEA;;RD;32;;;7142857;7142857;7142857;7142857;7142857
Beniers, Matthew;SEA;;C;23;;;7142857;7142857;7142857;7142857;7142857
Stephenson, Chandler;SEA;;C,LW;32;;;6250000;6250000;6250000;6250000;6250000
Grubauer, Philipp;SEA;;G;34;;;5900000;UFA;0;0;0
McMann, Bobby;SEA;;LW,RW;30;;;5750000;5750000;5750000;5750000;5750000
Eberle, Jordan;SEA;;RW;36;;;5500000;5500000;UFA;0;0
Larsson, Adam;SEA;;RD;33;;;5250000;5250000;5250000;UFA;0
McCann, Jared;SEA;;LW,C;30;;;5000000;UFA;0;0;0
Daccord, Joey;SEA;;G;30;;;5000000;5000000;5000000;5000000;UFA
Kakko, Kaapo;SEA;;RW;25;;;4525000;4525000;UFA;0;0
Lindgren, Ryan;SEA;;LD;28;;;4500000;4500000;4500000;UFA;0
Samoskevich, Mackie;SEA;;RW,C;23;;;3850000;3850000;3850000;RFA;0
Gaudreau, Frederick;SEA;;C,RW;33;;;2100000;2100000;UFA;0;0
Evans, Ryker;SEA;;LD;24;;;2050000;RFA;0;0;0
Douglas, Curtis;SEA;;C,LW;26;;;1250000;1250000;UFA;0;0
Winterton, Ryan;SEA;;RW,LW;22;;;1125000;1125000;RFA;0;0
Evers, Ryden;SEA;ELC;;21;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Bernier, Alexis;SEA;ELC;D;20;2026-27|2027-28|2028-29;;1003333;1003333;1003333;RFA;0
Meyers, Ben;SEA;;C,LW;27;;;1000000;1000000;UFA;0;0
O'Brien, Jake;SEA;ELC;C;19;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0
Jugnauth, Tyson;SEA;ELC;D;22;2026-27|2027-28;;972500;972500;RFA;0;0
Loshko, Andrei;SEA;ELC;RW;21;2026-27|2027-28;;970000;970000;RFA;0;0
Hammell, Kaden;SEA;ELC;D;21;2026-27|2027-28;;965333;965833;RFA;0;0
Miettinen, Julius;SEA;ELC;C,W;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Villeneuve, Nathan;SEA;ELC;C;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Catton, Berkly;SEA;ELC;C,LW;20;2026-27|2027-28;;953750;953750;RFA;0;0
Price, Caden;SEA;ELC;D;21;2026-27|2027-28;;935556;935556;RFA;0;0
Saarinen, Kim;SEA;ELC;G;20;2026-27|2027-28|2028-29;;932500;932500;932500;RFA;0
Fisker Molgaard, Oscar;SEA;ELC;;21;2026-27|2027-28;;914166;914166;RFA;0;0
Rehkopf, Carson;SEA;ELC;C,LW;21;2026-27|2027-28;;914166;914166;RFA;0;0
Dragicevic, Lukas;SEA;ELC;D;21;2026-27|2027-28;;914166;914166;RFA;0;0
Nelson, Ty;SEA;ELC;D;22;2026-27;;911667;RFA;0;0;0
Sale, Eduard;SEA;ELC;RW;21;2026-27|2027-28;;909166;909166;RFA;0;0
Mahura, Josh;SEA;;LD;28;;;907500;UFA;0;0;0
Kokko, Niklas;SEA;ELC;G;22;2026-27;;891666;RFA;0;0;0
Nyman, Jani;SEA;ELC;RW,LW;22;2026-27;;891666;RFA;0;0;0
Firkus, Jagger;SEA;ELC;RW;22;2026-27;;891666;RFA;0;0;0
Goyette, David;SEA;ELC;C;22;2026-27;;891666;RFA;0;0;0
Fleury, Cale;SEA;;RD;27;;;890000;UFA;0;0;0
Wright, Shane;SEA;ELC;C;22;2026-27;;886666;RFA;0;0;0
Ostman, Victor;SEA;;G;25;;;850000;RFA;0;0;0
Hayden, John;SEA;;C,RW;31;;;850000;UFA;0;0;0
Ottavainen, Ville;SEA;;RD;24;;;850000;RFA;0;0;0
Avon, Jon-Randall;SEA;;C,LW;23;;;850000;RFA;0;0;0
Roed, Lleyton;SEA;;LW;24;;;850000;RFA;0;0;0
Morrison, Logan;SEA;;C;24;;;850000;RFA;0;0;0
Veleno, Joseph;SEA;;C,LW;26;;;379167;0;0;0;0
Melanson, Jacob;SEA;;RW;23;;;RFA;0;0;0;0
Seppala, Peetro;SEA;;D;26;;;RFA;0;0;0;0
undefined, undefined;SEA;;;;;;;;;;
