Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Karlsson, Erik;SJS;;RD;36;;2026-27;11500000;0;0;0;0
Nurse, Darnell;SJS;;LD;31;;;9250000;9250000;9250000;9250000;UFA
Trouba, Jacob;SJS;;RD;32;;;8250000;8250000;8250000;8250000;UFA
Hertl, Tomas;SJS;;C,LW;32;;2026-27|2027-28|2028-29|2029-30;8137500;8137500;8137500;8137500;0
Couture, Logan;SJS;;C,LW;37;;;8000000;UFA;0;0;0
Marchment, Mason;SJS;;LW,C;31;;;6750000;6750000;6750000;6750000;6750000
Orlov, Dmitry;SJS;;LD,RD;35;;;6500000;UFA;0;0;0
Toffoli, Tyler;SJS;;RW,LW;34;;;6000000;6000000;UFA;0;0
Wennberg, Alexander;SJS;;C,LW;31;;;6000000;6000000;6000000;UFA;0
Sherwood, Kiefer;SJS;;RW,LW;31;;;5750000;5750000;5750000;5750000;5750000
Kesselring, Michael;SJS;;RD;26;;;4500000;4500000;4500000;UFA;0
Graf, Collin;SJS;;RW,C;23;;;4250000;4250000;4250000;RFA;0
Goodrow, Barclay;SJS;;C,LW;33;;;3641667;UFA;0;0;0
Nedeljkovic, Alex;SJS;;G;30;;;3000000;3000000;UFA;0;0
Ostapchuk, Zack;SJS;;C,LW;23;;;2350000;2350000;2350000;2350000;UFA
Gaudette, Adam;SJS;;C,RW;29;;;2000000;UFA;0;0;0
Askarov, Yaroslav;SJS;;G;24;;;2000000;RFA;0;0;0
Jones, Martin;SJS;;G;36;;;1666667;0;0;0;0
Dellandrea, Ty;SJS;;C,RW;26;;;1625000;1625000;UFA;0;0
Vlasic, Marc-Edouard;SJS;;LD;39;;;1166667;0;0;0;0
Comrie, Eric;SJS;;G;31;;;1150000;1150000;UFA;0;0
Stenberg, Ivar;SJS;ELC;;18;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Gasseau, Andre;SJS;ELC;C;23;2026-27|2027-28;;1050000;1050000;RFA;0;0
Sinn, Phillip;SJS;ELC;;22;2026-27|2027-28;;1050000;1050000;RFA;0;0
Pohlkamp, Eric;SJS;ELC;D;22;2026-27|2027-28;;1050000;1050000;RFA;0;0
Wetsch, Carson;SJS;ELC;RW;20;2026-27|2027-28|2028-29;;997500;997500;997500;RFA;0
Misa, Michael;SJS;ELC;C,LW;19;2026-27|2027-28;;986250;986250;RFA;0;0
Celebrini, Macklin;SJS;ELC;C,LW;20;2026-27|2027-28|2028-29|2029-30|2030-31;;975000;18800000;18800000;18800000;18800000
Sahlin Wallenius, Leo;SJS;ELC;D;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Dickinson, Sam;SJS;ELC;LD;20;2026-27|2027-28;;953750;953750;RFA;0;0
Hävelid, Mattias;SJS;ELC;D;22;2026-27|2027-28;;952500;952500;RFA;0;0
Smith, Will;SJS;ELC;C,RW;21;2026-27;;950000;RFA;0;0;0
Chernyshov, Igor;SJS;ELC;LW;20;2026-27|2027-28;;945417;945417;RFA;0;0
Lund, Cameron;SJS;ELC;RW,C;22;2026-27;;941667;RFA;0;0;0
Cagnoni, Luca;SJS;ELC;LD;21;2026-27;;920000;RFA;0;0;0
Bystedt, Filip;SJS;ELC;C,LW;22;2026-27;;918333;RFA;0;0;0
Musty, Quentin;SJS;ELC;LW;21;2026-27|2027-28;;909166;909166;RFA;0;0
Barre-Boulet, Alex;SJS;;C,W;29;;;875000;875000;UFA;0;0
Giles, Patrick;SJS;;C,RW;26;;;875000;875000;UFA;0;0
Allan, Nolan;SJS;;LD;23;;;875000;875000;RFA;0;0
Felhaber, Tye;SJS;;LW,C;28;;;850000;UFA;0;0;0
Cardwell, Ethan;SJS;;RW,C;23;;;850000;RFA;0;0;0
Leason, Brett;SJS;;RW,C;27;;;850000;UFA;0;0;0
Huntington, Jimmy;SJS;;C,LW;27;;;850000;UFA;0;0;0
Keyser, Kyle;SJS;;G;27;;;850000;UFA;0;0;0
Hajek, Libor;SJS;;D;28;;;850000;UFA;0;0;0
Kaut, Martin;SJS;;RW;26;;;RFA;0;0;0;0
undefined, undefined;SJS;;;;;;;;;;
