Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Thomas, Robert;STL;;C;27;;;8125000;8125000;8125000;8125000;8125000
Buchnevich, Pavel;STL;;LW,C;31;;;8000000;8000000;8000000;8000000;8000000
Broberg, Philip;STL;;LD;25;;;8000000;8000000;8000000;8000000;8000000
Holloway, Dylan;STL;;LW,C;24;;;7750000;7750000;7750000;7750000;7750000
McTavish, Mason;STL;;C,LW;23;;;7000000;7000000;7000000;7000000;7000000
McMichael, Connor;STL;;C,LW;25;;;6750000;6750000;6750000;6750000;6750000
Krug, Torey;STL;;D;35;;;6500000;UFA;0;0;0
Parayko, Colton;STL;;RD;33;;;6500000;6500000;6500000;6500000;UFA
Fowler, Cam;STL;;LD;34;;;6100000;6100000;6100000;UFA;0
Binnington, Jordan;STL;;G;33;;;6000000;UFA;0;0;0
Suter, Pius;STL;;C,LW;30;;;4125000;UFA;0;0;0
Carlo, Brandon;STL;;RD;29;;2026-27;4100000;UFA;0;0;0
Neighbours, Jake;STL;;LW,RW;24;;;3750000;RFA;0;0;0
Hofer, Joel;STL;;G;26;;;3400000;RFA;0;0;0
Toropchenko, Alexei;STL;;LW,RW;27;;;2500000;2500000;UFA;0;0
Johnston, Ross;STL;;LW,RW;32;;;2000000;2000000;2000000;UFA;0
Berggren, Jonatan;STL;;RW,LW;26;;;2000000;RFA;0;0;0
Drouin, Jonathan;STL;;LW,C;31;;;1333333;1333333;0;0;0
Ralph, Colin;STL;ELC;D;20;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Koromyslov, Arseni;STL;ELC;D;22;2026-27|2027-28;;1013750;1013750;RFA;0;0
Trudeau, Félix;STL;ELC;;23;2026-27|2027-28;;1013750;1013750;RFA;0;0
Gästrin, Milton;STL;ELC;C,LW;19;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0
Carbonneau, Justin;STL;ELC;RW;19;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0
Jecho, Adam;STL;ELC;C,RW;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Fischer, Lukas;STL;ELC;D;19;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Susuyev, Nikita;STL;ELC;LW,RW;21;2026-27|2027-28;;955000;955000;RFA;0;0
Snuggerud, Jimmy;STL;ELC;RW,LW;22;2026-27;;950000;RFA;0;0;0
Kaskimäki, Aleksanteri;STL;ELC;C;22;2026-27;;945000;RFA;0;0;0
Robertsson, Simon;STL;ELC;RW;23;2026-27;;942500;RFA;0;0;0
Jiříček, Adam;STL;ELC;D;20;2026-27|2027-28|2028-29;;941667;941667;941667;RFA;0
Stenberg, Otto;STL;ELC;C,LW;21;2026-27|2027-28;;940833;940833;RFA;0;0
Lindstein, Theo;STL;ELC;LD;21;2026-27|2027-28;;940833;940833;RFA;0;0
Burns, Quinton;STL;ELC;D;21;2026-27|2027-28;;938333;938333;RFA;0;0
Pekarcik, Juraj;STL;ELC;W,C;20;2026-27|2027-28;;938333;938333;RFA;0;0
Stancl, Jakub;STL;ELC;LW;21;2026-27|2027-28;;936111;936111;RFA;0;0
Tucker, Tyler;STL;;LD;26;;;925000;UFA;0;0;0
Buchinger, Michael;STL;ELC;D;22;2026-27;;913333;RFA;0;0;0
Dvorský, Dalibor;STL;ELC;C,RW;21;2026-27|2027-28;;909166;909166;RFA;0;0
Walker, Nathan;STL;;C,LW;32;;;887500;887500;UFA;0;0
Gaudet, Marc-Andre;STL;ELC;D;22;2026-27;;877500;RFA;0;0;0
Romanov, Georgii;STL;;G;26;;;875000;875000;UFA;0;0
Finley, Jack;STL;;C,RW;23;;;875000;875000;RFA;0;0
Rosen, Calle;STL;;D;32;;;875000;875000;UFA;0;0
Dube, Dillon;STL;;LW,C;28;;;850000;UFA;0;0;0
Mailloux, Logan;STL;;RD;23;;;850000;RFA;0;0;0
Sundqvist, Oskar;STL;;C,RW;32;;;850000;UFA;0;0;0
Dean, Zach;STL;;C;23;;;850000;RFA;0;0;0
Peterson, Dylan;STL;;C,RW;24;;;850000;RFA;0;0;0
Cranley, Will;STL;;G;24;;;850000;0;0;0;0
Abramov, Mikhail;STL;;C,W;25;;;RFA;0;0;0;0
Loof, Leo;STL;;D;24;;;RFA;0;0;0;0
undefined, undefined;STL;;;;;;;;;;
