Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Kucherov, Nikita;TBL;;RW;33;;;9500000;UFA;0;0;0
Point, Brayden;TBL;;C;30;;;9500000;9500000;9500000;9500000;UFA
Vasilevskiy, Andrei;TBL;;G;32;;;9500000;9500000;UFA;0;0
Guentzel, Jake;TBL;;LW,C;31;;;9000000;9000000;9000000;9000000;9000000
Carlson, John;TBL;;RD;36;;;8500000;8500000;UFA;0;0
Hedman, Victor;TBL;;LD;35;;;8000000;8000000;8000000;UFA;0
Moser, Janis Jérôme;TBL;;LD,RD;26;;;6750000;6750000;6750000;6750000;6750000
Hagel, Brandon;TBL;;LW;27;;;6500000;6500000;6500000;6500000;6500000
Cirelli, Anthony;TBL;;C;29;;;6250000;6250000;6250000;6250000;6250000
Cernak, Erik;TBL;;RD;29;;;5200000;5200000;5200000;5200000;5200000
McDonagh, Ryan;TBL;;LD;37;;;4100000;4100000;4100000;UFA;0
Mikheyev, Ilya;TBL;;RW,LW;31;;;3850000;3850000;3850000;3850000;UFA
Viel, Jeffrey;TBL;;LW,RW;29;;;2500000;2500000;2500000;2500000;2500000
Gourde, Yanni;TBL;;C,LW;34;;;2333333;2333333;2333333;2333334;2333334
Holmberg, Pontus;TBL;;C,LW;27;;;1550000;UFA;0;0;0
Johansson, Jonas;TBL;;G;30;;;1250000;UFA;0;0;0
Goncalves, Gage;TBL;;LW,RW;25;;;1200000;RFA;0;0;0
Kralovic, Tomas;TBL;ELC;;20;2026-27|2027-28|2028-29;;1007500;1007500;1007500;RFA;0
Rautiainen, Benjamin;TBL;ELC;;21;2026-27|2027-28|2028-29;;1007500;1007500;1007500;RFA;0
Meneghin, Harrison;TBL;ELC;G;21;2026-27|2027-28;;972500;972500;RFA;0;0
Steen, Noah;TBL;ELC;LW,RW;22;2026-27|2027-28;;972500;972500;RFA;0;0
Czata, Ethan;TBL;ELC;C;19;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0
Allard, Tristan;TBL;ELC;;24;2026-27;;947500;RFA;0;0;0
Szturc, Gabriel;TBL;ELC;C,LW;22;2026-27;;945000;RFA;0;0;0
Gill, Dyllan;TBL;ELC;D;22;2026-27;;945000;RFA;0;0;0
Roelens, Milo;TBL;ELC;C,LW;23;2026-27;;945000;RFA;0;0;0
Kurth, Connor;TBL;ELC;F;23;2026-27;;945000;RFA;0;0;0
Flinton, Robert;TBL;ELC;LW;23;2026-27;;942500;RFA;0;0;0
Duke, Dylan;TBL;ELC;LW,C;23;2026-27;;942500;RFA;0;0;0
O'Reilly, Sam;TBL;ELC;C;20;2026-27|2027-28|2028-29;;936056;936056;936056;RFA;0
Girgensons, Zemgus;TBL;;LW,C;32;;;925000;UFA;0;0;0
Mercuri, Lucas;TBL;ELC;C;24;2026-27;;913750;RFA;0;0;0
James, Dominic;TBL;ELC;C,LW;24;2026-27;;910000;RFA;0;0;0
Gauthier, Ethan;TBL;ELC;RW;21;2026-27|2027-28;;893333;893333;RFA;0;0
Geekie, Conor;TBL;ELC;RW,C;22;2026-27;;886666;RFA;0;0;0
D'Astous, Charle-Edouard;TBL;;LD;28;;;875000;UFA;0;0;0
Crozier, Maxwell;TBL;;RD;26;;;875000;875000;UFA;0;0
Groshev, Maxim;TBL;;LD;24;;;875000;875000;RFA;0;0
Pelletier, Jakob;TBL;;LW,C;25;;;875000;875000;UFA;0;0
Harkins, Jansen;TBL;;C,LW;29;;;850000;UFA;0;0;0
Lilleberg, Emil;TBL;;LD,RD;25;;;850000;RFA;0;0;0
Sabourin, Scott;TBL;;RW,LW;34;;;850000;UFA;0;0;0
Abruzzese, Nicholas;TBL;;C,LW;27;;;850000;UFA;0;0;0
Rodrigue, Olivier;TBL;;G;26;;;850000;0;0;0;0
Santini, Steven;TBL;;RD;31;;;850000;UFA;0;0;0
Callahan, Michael;TBL;;LD;26;;;850000;UFA;0;0;0
Lundmark, Simon;TBL;;D;25;;;850000;0;0;0;0
Sogaard, Mads;TBL;;G;25;;;850000;0;0;0;0
Hildeby, Dennis;TBL;;G;25;;;841667;841667;RFA;0;0
Alnefelt, Hugo;TBL;;G;25;;;RFA;0;0;0;0
undefined, undefined;TBL;;;;;;;;;;
