Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Matthews, Auston;TOR;;C;28;;;13250000;13250000;UFA;0;0
Nylander, William;TOR;;C,RW;30;;;11500000;11500000;11500000;11500000;11500000
Raddysh, Darren;TOR;;RD;30;;;8500000;8500000;8500000;8500000;8500000
Knies, Matthew;TOR;;LW,RW;23;;;7750000;7750000;7750000;7750000;7750000
Rielly, Morgan;TOR;;LD;32;;;7500000;7500000;7500000;7500000;UFA
Bobrovsky, Sergei;TOR;;G;37;;;7000000;7000000;7000000;UFA;0
McCabe, Jake;TOR;;LD,RD;32;;;4513102;4513102;4513102;4513102;UFA
Tanev, Christopher;TOR;;RD;36;;;4500000;4500000;4500000;4500000;UFA
Tavares, John;TOR;;C,LW;35;;;4389280;4389280;4389280;UFA;0
Sissons, Colton;TOR;;C,RW;32;;;4250000;4250000;UFA;0;0
Roslovic, Jack;TOR;;C,RW;29;;;4000000;4000000;UFA;0;0
Stolarz, Anthony;TOR;;G;32;;;3750000;3750000;3750000;3750000;UFA
Domi, Max;TOR;;C,LW;31;;;3750000;3750000;UFA;0;0
Ekman-Larsson, Oliver;TOR;;LD,RD;35;;;3500000;3500000;UFA;0;0
Joshua, Dakota;TOR;;C,LW;30;;;3250000;3250000;UFA;0;0
Paul, Nick;TOR;;LW,C;31;;;3150000;3150000;3150000;UFA;0
Duhaime, Brandon;TOR;;LW,RW;29;;;2600000;2600000;2600000;UFA;0
Blueger, Teddy;TOR;;C;32;;;2500000;2500000;UFA;0;0
Andrae, Emil;TOR;;LD,RD;24;;;1550000;1550000;RFA;0;0
Lorentz, Steven;TOR;;LW,C;30;;;1350000;1350000;UFA;0;0
Stecher, Troy;TOR;;RD;32;;;1350000;1350000;UFA;0;0
McKenna, Gavin;TOR;ELC;LW;18;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Koblar, Tinus Luc;TOR;ELC;;19;2026-27|2027-28|2028-29;;1028333;1028333;1028333;RFA;0
Hundley, Hayes;TOR;ELC;;21;2026-27|2027-28|2028-29;;1010000;1010000;1010000;RFA;0
Borgesi, Vinny;TOR;ELC;;22;2026-27|2027-28;;987500;987500;RFA;0;0
Buhr, Brandon;TOR;ELC;;24;2026-27;;975000;RFA;0;0;0
Valis, Borya;TOR;ELC;F;22;2026-27|2027-28;;972500;972500;RFA;0;0
Smith, Blake;TOR;ELC;;21;2026-27|2027-28;;962500;962500;RFA;0;0
Sim, Landon;TOR;ELC;C,RW;22;2026-27|2027-28;;955000;955000;RFA;0;0
Haymes, Luke;TOR;ELC;C;23;2026-27;;937500;RFA;0;0;0
Danford, Ben;TOR;ELC;RD;20;2026-27|2027-28|2028-29;;936056;936056;936056;RFA;0
Holinka, Miroslav;TOR;ELC;C,W;20;2026-27|2027-28;;918333;918333;RFA;0;0
Chadwick, Noah;TOR;ELC;D;21;2026-27|2027-28;;900556;900556;RFA;0;0
Akhtyamov, Artur;TOR;;G;24;;;900000;900000;900000;UFA;0
Cowan, Easton;TOR;ELC;C,LW;21;2026-27|2027-28;;900000;900000;RFA;0;0
MacEwen, Zack;TOR;;C,RW;30;;;875000;875000;UFA;0;0
Rybinski, Henrik;TOR;;W,C;25;;;875000;875000;UFA;0;0
McWard, Cole;TOR;;RD;25;;;875000;875000;UFA;0;0
Villeneuve, William;TOR;;RD;24;;;875000;875000;RFA;0;0
Hlavaj, Samuel;TOR;;G;25;;;850000;RFA;0;0;0
Myers, Philippe;TOR;;RD;29;;;850000;UFA;0;0;0
Tverberg, Ryan;TOR;;C,RW;24;;;850000;0;0;0;0
Lettieri, Vinni;TOR;;C,RW;31;;;850000;UFA;0;0;0
Rifai, Marshall;TOR;;LD;28;;;850000;UFA;0;0;0
Quillan, Jacob;TOR;;C,LW;24;;;850000;RFA;0;0;0
Webber, Cade;TOR;;D;25;;;825000;RFA;0;0;0
Mermis, Dakota;TOR;;LD;32;;;812500;UFA;0;0;0
Pezzetta, Michael;TOR;;LW,C;28;;;812500;UFA;0;0;0
Groulx, Bo;TOR;;C,LW;26;;;812500;UFA;0;0;0
Der-Arguchintsev, Semyon;TOR;;C;25;;;RFA;0;0;0;0
Hirvonen, Roni;TOR;;W,C;24;;;RFA;0;0;0;0
Niemela, Topi;TOR;;D;24;;;RFA;0;0;0;0
undefined, undefined;TOR;;;;;;;;;;
