Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Cooley, Logan;UTA;;C,LW;22;;;10000000.0;10000000;10000000;10000000;10000000
Schmaltz, Nick;UTA;;C,LW;30;;;8000000.0;8000000;8000000;8000000;8000000
Keller, Clayton;UTA;;RW,LW;28;;;7150000.0;7150000;UFA;0;0
Guenther, Dylan;UTA;;RW,LW;23;;;7142875.0;7142875;7142875;7142875;7142875
Trocheck, Vincent;UTA;;C,RW;33;;;5625000.0;5625000;5625000;UFA;0
Lee, Anders;UTA;;LW;36;;;5400000.0;5400000;5400000;UFA;0
Hayton, Barrett;UTA;;C,LW;26;;;4775000.0;UFA;0;0;0
Crouse, Lawson;UTA;;LW,RW;29;;;4300000.0;UFA;0;0;0
McBain, Jack;UTA;;C,LW;26;;;4250000.0;4250000;4250000;4250000;UFA
Stenlund, Kevin;UTA;;C;29;;;2750000.0;UFA;0;0;0
Tanev, Brandon;UTA;;LW,RW;34;;;2500000.0;2500000;UFA;0;0
Carcone, Michael;UTA;;LW;30;;;1750000.0;1750000;UFA;0;0
Yamamoto, Kailer;UTA;;RW,LW;27;;;1750000.0;1750000;UFA;0;0
O'Brien, Liam;UTA;;LW,RW;32;;;1000000.0;UFA;0;0;0
Sergachev, Mikhail;UTA;;LD;28;;;8500000.0;8500000;8500000;8500000;8500000
Weegar, MacKenzie;UTA;;LD,RD;32;;;6250000.0;6250000;6250000;6250000;6250000
Marino, John;UTA;;RD;29;;;4400000.0;6750000;6750000;6750000;6750000
Schmidt, Nate;UTA;;LD,RD;35;;;3500000.0;3500000;UFA;0;0
Peeke, Andrew;UTA;;RD;28;;;1000000.0;UFA;0;0;0
DeSimone, Nick;UTA;;RD;31;;;1000000.0;1000000;UFA;0;0
Simashev, Dmitri;UTA;ELC;LD,RD;21;2026-27|2027-28;;972500.0;972500;RFA;0;0
Vejmelka, Karel;UTA;;G;30;;;4750000.0;4750000;4750000;4750000;UFA
Cossa, Sebastian;UTA;;G;23;;;2000000.0;2000000;RFA;0;0
Ekman-Larsson, Oliver;UTA;;LD,RD;35;;;650000.0;290000;290000;290000;290000
Desnoyers, Caleb;UTA;ELC;C;19;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Moroz, Vadim;UTA;ELC;LW,RW;22;2026-27|2027-28;;1013750.0;1013750;RFA;0;0
Borikov, Yegor;UTA;ELC;;20;2026-27|2027-28|2028-29;;995000.0;995000;995000;RFA;0
But, Daniil;UTA;ELC;LW;21;2026-27|2027-28;;972500.0;972500;RFA;0;0
Smith, Gabe;UTA;ELC;C;20;2026-27|2027-28|2028-29;;962778.0;962778;962778;RFA;0
Matikka, Miko;UTA;ELC;RW,LW;22;2026-27;;945000.0;RFA;0;0;0
Allard, Owen;UTA;ELC;C,LW;22;2026-27;;944167.0;RFA;0;0;0
Iginla, Tij;UTA;ELC;LW;20;2026-27|2027-28|2028-29;;941667.0;941667;941667;RFA;0
Nordh, Noel;UTA;ELC;LW,RW;21;2026-27|2027-28;;935000.0;935000;RFA;0;0
Lipkin, Sam;UTA;ELC;LW,C;23;2026-27;;926667.0;RFA;0;0;0
Lutz, Julian;UTA;ELC;W,C;22;2026-27;;923333.0;RFA;0;0;0
McCartney, Ben;UTA;;LW,RW;25;;;850000.0;0;0;0;0
Roy, Joshua;UTA;;LW;23;;;850000.0;RFA;0;0;0
Hebig, Cameron;UTA;;C,W;29;;;812500.0;UFA;0;0;0
Biber, Gregor;UTA;ELC;D;20;2026-27|2027-28|2028-29;;1002500.0;1002500;1002500;RFA;0
Psenicka, Max;UTA;ELC;;19;2026-27|2027-28|2028-29;;997500.0;997500;997500;RFA;0
Lavoie, Tomas;UTA;ELC;D;20;2026-27|2027-28|2028-29;;965000.0;965000;965000;RFA;0
Duda, Artyom;UTA;ELC;D;22;2026-27;;950000.0;RFA;0;0;0
Goldsmith, Terrell;UTA;ELC;D;21;2026-27|2027-28;;936111.0;936111;RFA;0;0
Lamoureux, Maveric;UTA;ELC;RD;22;2026-27;;886666.0;RFA;0;0;0
Jones, Zachary;UTA;;LD;25;;;875000.0;875000;UFA;0;0
Onyebuchi, Montana;UTA;;D;26;;;850000.0;UFA;0;0;0
Hrabal, Michael;UTA;ELC;G;21;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Stauber, Jaxson;UTA;;G;27;;;850000.0;UFA;0;0;0
undefined, undefined;UTA;;;;;;;;;;
