Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Pettersson, Elias;VAN;;C,LW;27;;;11600000.0;11600000;11600000;11600000;11600000
Boeser, Brock;VAN;;RW,LW;29;;;7250000.0;7250000;7250000;7250000;7250000
DeBrusk, Jake;VAN;;LW,RW;29;;;5500000.0;5500000;5500000;5500000;5500000
Rossi, Marco;VAN;;C;24;;;5000000.0;5000000;RFA;0;0
Chytil, Filip;VAN;;C;26;;;4437500.0;UFA;0;0;0
Gallagher, Brendan;VAN;;RW;34;;2026-27;6500000.0;UFA;0;0;0
O'Connor, Drew;VAN;;LW,RW;28;;;2500000.0;UFA;0;0;0
Karlsson, Linus;VAN;;RW,C;26;;;2250000.0;2250000;UFA;0;0
Cotter, Paul;VAN;;LW,C;26;;;2150000.0;UFA;0;0;0
Sasson, Max;VAN;;C,LW;25;;;1000000.0;1000000;UFA;0;0
Cootes, Braeden;VAN;ELC;C;19;2026-27|2027-28|2028-29;;974167.0;974167;974167;RFA;0
Lekkerimaki, Jonathan;VAN;ELC;RW;22;2026-27;;918333.0;RFA;0;0;0
Öhgren, Liam;VAN;ELC;LW;22;2026-27;;886666.0;RFA;0;0;0
Räty, Aatu;VAN;;C;23;;;850000.0;RFA;0;0;0
Hronek, Filip;VAN;;RD;28;;;7250000.0;7250000;7250000;7250000;7250000
Oleksiak, Jamie;VAN;;LD,RD;33;;;5000000.0;5000000;UFA;0;0
Schenn, Luke;VAN;;RD;36;;;2250000.0;UFA;0;0;0
Mancini, Victor;VAN;;RD;24;;;1000000.0;1000000;RFA;0;0
Willander, Tom;VAN;ELC;RD;21;2026-27|2027-28;;972500.0;972500;RFA;0;0
Buium, Zeev;VAN;ELC;LD;20;2026-27;;966667.0;RFA;0;0;0
Demko, Thatcher;VAN;;G;30;;;8500000.0;8500000;8500000;UFA;0
Lankinen, Kevin;VAN;;G;31;;;4500000.0;4500000;4500000;4500000;UFA
Ekman-Larsson, Oliver;VAN;;LD,RD;35;;;4766667.0;2126667;2126667;2126667;2126667
Myers, Tyler;VAN;;RD;36;;2026-27;3000000.0;0;0;0;0
Novotný, Adam;VAN;ELC;LW,RW;18;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Patterson, Riley;VAN;ELC;C;20;2026-27|2027-28|2028-29;;956667.0;956667;956667;RFA;0
Safonov, Ilya;VAN;;C;25;;;950000.0;RFA;0;0;0
Chiarot, Gabe;VAN;ELC;;19;2026-27|2027-28|2028-29;;950000.0;950000;950000;RFA;0
Ravinskis, Anri;VAN;ELC;;23;2026-27;;947500.0;RFA;0;0;0
Mueller, Ty;VAN;ELC;C;23;2026-27;;945000.0;RFA;0;0;0
Alriksson, Vilmer;VAN;ELC;LW,C;21;2026-27|2027-28;;931667.0;931667;RFA;0;0
Thomas, Akil;VAN;;C,W;26;;;900000.0;UFA;0;0;0
Fix-Wolansky, Trey;VAN;;RW;27;;;900000.0;UFA;0;0;0
MacEachern, MacKenzie;VAN;;LW;32;;;850000.0;UFA;0;0;0
Stienburg, Matthew;VAN;;C;25;;;850000.0;0;0;0;0
Wouters, Chase;VAN;;C;26;;;850000.0;UFA;0;0;0
Bains, Arshdeep;VAN;;LW;25;;;850000.0;0;0;0;0
Mynio, Sawyer;VAN;ELC;D;21;2026-27|2027-28;;906666.0;906666;RFA;0;0
Brisebois, Guillaume;VAN;;D;29;;;900000.0;UFA;0;0;0
Kudryavtsev, Kirill;VAN;ELC;LD;22;2026-27;;900000.0;RFA;0;0;0
Schuldt, Jimmy;VAN;;D;31;;;850000.0;UFA;0;0;0
Thompson, Jack;VAN;;RD;24;;;850000.0;0;0;0;0
Clayton, Cole;VAN;;D;26;;;850000.0;UFA;0;0;0
Medvedev, Aleksei;VAN;ELC;G;18;2026-27|2027-28|2028-29;;965000.0;965000;965000;RFA;0
Koskenvuo, Aku;VAN;ELC;G;23;2026-27;;925000.0;RFA;0;0;0
Young, Ty;VAN;ELC;G;21;2026-27;;900000.0;RFA;0;0;0
Tolopilo, Nikita;VAN;;G;26;;;850000.0;UFA;0;0;0
undefined, undefined;VAN;;;;;;;;;;
