Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Eichel, Jack;VGK;;C;29;;;13500000;13500000;13500000;13500000;13500000
Marner, Mitch;VGK;;RW,C;29;;;12000000;12000000;12000000;12000000;12000000
Stone, Mark;VGK;;RW;34;;;9500000;UFA;0;0;0
Pietrangelo, Alex;VGK;;D;36;;;8800000;UFA;0;0;0
Andersson, Rasmus;VGK;;RD;29;;;8500000;8500000;8500000;8500000;8500000
Hertl, Tomas;VGK;;C,LW;32;;2026-27|2027-28|2028-29|2029-30;8137500;8137500;8137500;8137500;UFA
Theodore, Shea;VGK;;LD,RD;31;;;7425000;7425000;7425000;7425000;7425000
Hanifin, Noah;VGK;;LD;29;;;7350000;7350000;7350000;7350000;7350000
Hill, Adin;VGK;;G;30;;;6250000;6250000;6250000;6250000;6250000
Karlsson, William;VGK;;C;33;;;5900000;UFA;0;0;0
Barbashev, Ivan;VGK;;LW;30;;;5000000;5000000;UFA;0;0
Lauzon, Jeremy;VGK;;LD;29;;;4000000;4000000;4000000;4000000;4000000
McNabb, Brayden;VGK;;LD;35;;;3650000;3650000;UFA;0;0
Dowd, Nic;VGK;;C;36;;;3000000;UFA;0;0;0
Howden, Brett;VGK;;C,LW;28;;;2500000;2500000;2500000;2500000;UFA
Hart, Carter;VGK;;G;28;;;2000000;UFA;0;0;0
Olofsson, Victor;VGK;;LW,RW;31;;;1638330;UFA;0;0;0
Davies, Jeremy;VGK;;D;29;;;1150000;UFA;0;0;0
Piiparinen, Juho;VGK;ELC;;18;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0
Wotherspoon, Parker;VGK;;LD;29;;2026-27;1000000;UFA;0;0;0
Moysevich, Pavel;VGK;ELC;G;21;2026-27|2027-28|2028-29;;980000;980000;980000;RFA;0
Weiermair, Alex;VGK;ELC;;21;2026-27|2027-28|2028-29;;975000;975000;975000;RFA;0
Connelly, Trevor;VGK;ELC;LW;20;2026-27|2027-28|2028-29;;974167;974167;974167;RFA;0
Ride, Bronson;VGK;ELC;;21;2026-27|2027-28|2028-29;;970500;970500;970500;RFA;0
Uronen, Tuomas;VGK;ELC;W,C;21;2026-27|2027-28;;952500;952500;RFA;0;0
Swick, Trent;VGK;ELC;LW;22;2026-27|2027-28;;950000;950000;RFA;0;0
Hallum, Jackson;VGK;ELC;F;23;2026-27;;942500;RFA;0;0;0
Whitehead, Cameron;VGK;ELC;G;23;2026-27;;937500;RFA;0;0;0
Uchacz, Kai;VGK;ELC;C,RW;23;2026-27;;920000;RFA;0;0;0
Bowman, Braeden;VGK;ELC;RW;23;2026-27;;912500;RFA;0;0;0
Kmec, Viliam;VGK;ELC;D;22;2026-27;;908333;RFA;0;0;0
Gustafson, Jordan;VGK;ELC;C;22;2026-27;;905000;RFA;0;0;0
Cataford, Mathieu;VGK;ELC;RW;21;2026-27|2027-28;;901666;901666;RFA;0;0
Lavoie, Raphael;VGK;;C,RW;25;;;900000;0;0;0;0
Lindbom, Carl;VGK;;G;23;;;900000;900000;900000;RFA;0
Laczynski, Tanner;VGK;;C;29;;;900000;900000;900000;UFA;0
Hemmerling, Ben;VGK;ELC;RW;22;2026-27;;896111;RFA;0;0;0
Sapovaliv, Matyas;VGK;ELC;C;22;2026-27;;878334;RFA;0;0;0
Gatcomb, Marc;VGK;;C,RW;27;;;875000;875000;UFA;0;0
Coghlan, Dylan;VGK;;D;28;;;875000;875000;UFA;0;0
Tuomisto, Antti;VGK;;D;25;;;875000;875000;UFA;0;0
Ginning, Adam;VGK;;LD;26;;;875000;875000;UFA;0;0
Demek, Jakub;VGK;;RW;23;;;850000;RFA;0;0;0
Rondbjerg, Jonas;VGK;;LW,RW;27;;;850000;UFA;0;0;0
Megna, Jaycob;VGK;;D;33;;;850000;UFA;0;0;0
Cormier, Lukas;VGK;;D;24;;;850000;0;0;0;0
Fleming, Joe;VGK;;D;23;;;850000;RFA;0;0;0
Heinola, Ville;VGK;;LD;25;;;850000;0;0;0;0
Holtz, Alexander;VGK;;RW,LW;24;;;835352;RFA;0;0;0
Brabenec, Jakub;VGK;;LW,C;22;;;RFA;0;0;0;0
Morozov, Ivan;VGK;;C;26;;;RFA;0;0;0;0
undefined, undefined;VGK;;;;;;;;;;
