Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Connor, Kyle;WPG;;LW;29;;;12000000;12000000;12000000;12000000;12000000.0
Scheifele, Mark;WPG;;C;33;;;8500000;8500000;8500000;8500000;8500000.0
Hellebuyck, Connor;WPG;;G;33;;;8500000;8500000;8500000;8500000;8500000.0
Vilardi, Gabriel;WPG;;RW,C;27;;;7500000;7500000;7500000;7500000;7500000.0
Pionk, Neal;WPG;;RD;31;;;7000000;7000000;7000000;7000000;7000000.0
Morrissey, Josh;WPG;;LD;31;;;6250000;6250000;UFA;0;0.0
Perfetti, Cole;WPG;;RW,LW;24;;;6000000;6000000;6000000;6000000;6000000.0
Samberg, Dylan;WPG;;LD;27;;;5750000;5750000;UFA;0;0.0
Lowry, Adam;WPG;;C;33;;;5000000;5000000;5000000;5000000;5000000.0
Demelo, Dylan;WPG;;RD;33;;;4900000;4900000;UFA;0;0.0
Niederreiter, Nino;WPG;;LW;33;;;4000000;UFA;0;0;0.0
Ferraro, Mario;WPG;;LD,RD;27;;;4000000;4000000;4000000;UFA;0.0
Skinner, Stuart;WPG;;G;27;;;3750000;3750000;UFA;0;0.0
Iafallo, Alex;WPG;;LW,RW;32;;;3666666;3666666;UFA;0;0.0
Namestnikov, Vladislav;WPG;;C,LW;33;;;3000000;UFA;0;0;0.0
Barron, Morgan;WPG;;C,LW;27;;;1850000;UFA;0;0;0.0
Koepke, Cole;WPG;;LW,RW;28;;;1450000;1450000;UFA;0;0.0
Björck, Viggo;WPG;ELC;;18;2026-27|2027-28|2028-29;;1075000;1075000;1075000;RFA;0.0
Brown, Garrett;WPG;ELC;D;22;2026-27|2027-28;;1050000;1050000;RFA;0;0.0
Freij, Alfons;WPG;ELC;D;20;2026-27|2027-28|2028-29;;965000;965000;965000;RFA;0.0
Julien, Jacob;WPG;ELC;C;21;2026-27|2027-28;;957500;957500;RFA;0;0.0
Walton, Kieron;WPG;ELC;C,LW;20;2026-27|2027-28|2028-29;;955556;955556;955556;RFA;0.0
Fleury, Haydn;WPG;;LD,RD;30;;;950000;UFA;0;0;0.0
Yager, Brayden;WPG;ELC;C;21;2026-27|2027-28;;940833;940833;RFA;0;0.0
He, Kevin;WPG;ELC;LW;20;2026-27|2027-28|2028-29;;932500;932500;932500;RFA;0.0
Rosén, Isak;WPG;;LW,RW;23;;;925000;925000;RFA;0;0.0
Milic, Thomas;WPG;ELC;G;23;2026-27;;916667;RFA;0;0;0.0
Wahlin, Lucas;WPG;;;25;;;910000;RFA;0;0;0.0
Barlow, Colby;WPG;ELC;LW;21;2026-27|2027-28;;909166;909166;RFA;0;0.0
DiVincentiis, Domenic;WPG;ELC;G;22;2026-27;;905556;RFA;0;0;0.0
Wagner, Fabian;WPG;ELC;C,RW;22;2026-27;;905556;RFA;0;0;0.0
Lambert, Brad;WPG;ELC;C,RW;22;2026-27;;886666;RFA;0;0;0.0
Zhilkin, Danny;WPG;ELC;C;22;2026-27;;878333;RFA;0;0;0.0
Chibrikov, Nikita;WPG;;LW,RW;23;;;875000;875000;RFA;0;0.0
Bauer, Tyrel;WPG;;D;24;;;875000;875000;RFA;0;0.0
Duehr, Walker;WPG;;RW;28;;;875000;875000;UFA;0;0.0
Salomonsson, Elias;WPG;ELC;RD;21;2026-27;;865000;RFA;0;0;0.0
St. Ivany, Jack;WPG;;RD;27;;;850000;UFA;0;0;0.0
Gregor, Noah;WPG;;LW,RW;28;;;850000;UFA;0;0;0.0
Poulter, Isaac;WPG;;G;24;;;850000;0;0;0;0.0
Thrun, Henry;WPG;;LD;25;;;850000;RFA;0;0;0.0
Phillips, Isaak;WPG;;D;24;;;812500;0;0;0;0.0
Ford, Parker;WPG;;C,RW;26;;;812500;0;0;0;0.0
Kupari, Rasmus;WPG;;C,RW;26;;;RFA;0;0;0;0.0
undefined, undefined;WPG;;;;;;;;;;
