Joueur;Equipe;Statut;Position;Age;ELC_Saisons;Salaire_Reel_Saisons;2026-27;2027-28;2028-29;2029-30;2030-31
Tuch, Alex;WSH;;RW,C;30;;;10500000.0;10500000;10500000;10500000;10500000
Dubois, Pierre-Luc;WSH;;C,LW;28;;;8500000.0;8500000;8500000;8500000;8500000
Kyrou, Jordan;WSH;;RW;28;;;8125000.0;8125000;8125000;8125000;8125000
Wilson, Tom;WSH;;RW;32;;;6540000.0;6540000;6540000;6540000;6540000
Jenner, Boone;WSH;;C,LW;33;;;5750000.0;5750000;5750000;5750000;UFA
Strome, Dylan;WSH;;C;29;;;5000000.0;5000000;UFA;0;0
Ovechkin, Alex;WSH;;LW;40;;;4250000.0;UFA;0;0;0
Protas, Aliaksei;WSH;;LW,RW;25;;;3375000.0;3375000;3375000;UFA;0
Beauvillier, Anthony;WSH;;LW,RW;29;;;2750000.0;UFA;0;0;0
Frank, Ethen;WSH;;RW,C;28;;;2000000.0;2000000;UFA;0;0
Leonard, Ryan;WSH;ELC;RW,LW;21;2026-27;;950000.0;RFA;0;0;0
Protas, Ilya;WSH;ELC;C,LW;20;2026-27|2027-28|2028-29;;932500.0;932500;932500;RFA;0
Miroshnichenko, Ivan;WSH;;RW,LW;22;;;925000.0;925000;RFA;0;0
Sourdif, Justin;WSH;;RW,C;24;;;825000.0;RFA;0;0;0
Chychrun, Jakob;WSH;;LD;28;;;9000000.0;9000000;9000000;9000000;9000000
Fehervary, Martin;WSH;;LD;26;;;6000000.0;6000000;6000000;6000000;6000000
Roy, Matt;WSH;;RD;31;;;5750000.0;5750000;5750000;5750000;UFA
Sandin, Rasmus;WSH;;LD,RD;26;;;4600000.0;4600000;4600000;UFA;0
Desharnais, Vincent;WSH;;RD;30;;;4200000.0;4200000;4200000;4200000;UFA
Liljegren, Timothy;WSH;;RD;27;;;3250000.0;3250000;UFA;0;0
Hutson, Cole;WSH;ELC;LD;20;2026-27|2027-28;;952083.0;952083;RFA;0;0
Holl, Justin;WSH;;RD;34;;;900000.0;UFA;0;0;0
Thompson, Logan;WSH;;G;29;;;5850000.0;5850000;5850000;5850000;5850000
Lindgren, Charlie;WSH;;G;32;;;3000000.0;3000000;UFA;0;0
Suvanto, Oliver;WSH;ELC;;17;2026-27|2027-28|2028-29;;1075000.0;1075000;1075000;RFA;0
Niederbach, Theodor;WSH;ELC;C,RW;24;2026-27;;1025000.0;RFA;0;0;0
Sikora, Petr;WSH;ELC;C;20;2026-27|2027-28|2028-29;;995000.0;995000;995000;RFA;0
Kopff, Tyler;WSH;ELC;F;23;2026-27;;975000.0;RFA;0;0;0
Lakovic, Lynden;WSH;ELC;F;19;2026-27|2027-28|2028-29;;974167.0;974167;974167;RFA;0
Thomas, Patrick;WSH;ELC;C;22;2026-27|2027-28;;965833.0;965833;RFA;0;0
Parascak, Terik;WSH;ELC;RW;20;2026-27|2027-28|2028-29;;941667.0;941667;941667;RFA;0
Mateiko, Eriks;WSH;ELC;LW,RW;20;2026-27|2027-28|2028-29;;932500.0;932500;932500;RFA;0
Trineyev, Bogdan;WSH;;LW;24;;;900000.0;900000;RFA;0;0
Cristall, Andrew;WSH;ELC;LW;21;2026-27|2027-28;;889166.0;889166;RFA;0;0
Suzdalev, Alexander;WSH;ELC;F;22;2026-27;;864999.0;RFA;0;0;0
Persson, Ludwig;WSH;ELC;C,LW;22;2026-27;;864999.0;RFA;0;0;0
Smallman, Spencer;WSH;;C,RW;29;;;850000.0;UFA;0;0;0
Brodzinski, Jonny;WSH;;RW,LW;33;;;850000.0;UFA;0;0;0
Dunne, Joshua;WSH;;C,LW;27;;;850000.0;UFA;0;0;0
Chesley, Ryan;WSH;ELC;D;22;2026-27|2027-28;;945833.0;945833;RFA;0;0
Muggli, Leon;WSH;ELC;D;20;2026-27|2027-28|2028-29;;932500.0;932500;932500;RFA;0
Gucciardi, David;WSH;ELC;D;23;2026-27;;930000.0;RFA;0;0;0
Allen, Cam;WSH;ELC;D;21;2026-27|2027-28;;930000.0;930000;RFA;0;0
McIlrath, Dylan;WSH;;RD;34;;;850000.0;UFA;0;0;0
Belpedio, Louie;WSH;;D;30;;;850000.0;UFA;0;0;0
MacDonald, Jacob;WSH;;D,LW;33;;;850000.0;UFA;0;0;0
Stevenson, Clay;WSH;;G;27;;;850000.0;UFA;0;0;0
Gibson, Mitchell;WSH;;G;27;;;812500.0;UFA;0;0;0
undefined, undefined;WSH;;;;;;;;;;
